,ZCR,MEANt,VARt,SKEWt,KURTt,LEQt,BGNt,SNRt,M,Ht,ACTtFraction,ACTtCount,ACTtMean,EVNtFraction,EVNtMean,EVNtCount,MEANf,VARf,SKEWf,KURTf,NP,LEQf,BGNf,SNRf,Hf,EAS,ECU,ECV,EPS,EPS_KURT,EPS_SKEW,ACI,NDSI,rBA,AnthroEnergy,BioEnergy,BIO,ROU,ADI,AEI,LFC,MFC,HFC,ACTspFract,ACTspCount,ACTspMean,EVNspFract,EVNspMean,EVNspCount,TFSD,H_Havrda,H_Renyi,H_pairedShannon,H_gamma,H_GiniSimpson,RAOQ,AGI,nROI,aROI,H,date,site,device_id,habitat,species_richness
BA-04_0_20150620_0417,5083.166666666667,4.495775803287373e-12,3.331948915463194e-06,0.0159108313943384,3.0743275449065086,89.10834423001174,-48.676784052798,0.6682052942261052,0.0036826529848492,0.9820669768534184,0.1128314302303077,583.0,4.187323624350595,0.0568995548674279,0.0275268817204301,2.067454268292683,2.8395634844278467e-05,2.9441796174515236e-09,12.071955117077213,167.5435480962521,8.0,35.83358169160621,-59.2494194895299,2.083001181136119,0.4140875540701452,0.0256331431378321,0.3305306226578384,0.2764906723843197,0.1345696375803088,21.46024422804418,3.7026204996850742,301.9200180442137,-0.797085541616436,0.1129130771376899,0.0080503935160322,0.0009089947040645,13.996382041008804,0.0117205133794925,2.2981093173275235,0.0535746720393405,0.1400112025436364,0.1565397777736371,0.1260619534460212,0.1384306644405729,715.1328125,8.826224859857703,0.0122064641405342,0.0486486712294193,0.1834061392740728,0.5366763409528515,0.3057227926392159,1.245472690646265,3.448971985383638,14113.32532531758,0.7663146977765131,0.3030727750044851,1.273034068162147,582.2217987804878,1.350287637921022,0.4066617123782939,2015-06-20 04:17:00,BA-04,SM2,Arable land,5.0
BA-15_0_20150619_0346,7850.169550326005,2.4657555632765227e-10,2.4595523186359686e-06,-0.0242890712413521,3.695146709604304,87.79006589744127,-48.9979175994239,0.6572873978812197,0.0035489846438755,0.9830497456765154,0.0851393188854489,440.0,4.50582631562283,0.0441176470588235,0.0335072763282528,1.3169135257402749,3.101860583844971e-05,2.5438058808261193e-09,11.772214634298887,161.03882828012058,3.0,35.54076891695071,-59.2716152215618,1.8123841385125128,0.4733049168367271,0.0002310848489418,0.0300073314290681,0.0248458045825654,0.0083871574559125,3.1576712804601423,0.3780806908099829,296.7325380234154,-0.7835352561155127,0.1213683571111126,0.0069453129658322,0.0008429412242855,2.871670169493441,0.010131633293466,2.301509951351553,0.0234187034095938,0.1319626599244798,0.1417055377141443,0.1284089936880716,0.1336444775740274,690.541015625,5.809178984604044,0.0052073253338494,0.0490711949343243,0.0947626625619283,0.521220979807841,0.3121891623093483,1.378889362254852,3.8409083935253,18715.724417139267,0.8025413107642128,0.4562289549242255,1.21256698842841,21.00393724598413,0.0423737783046255,0.4652822781237888,2015-06-19 03:46:00,BA-15,SM2,Arable land,0.0
BA-06_0_20150620_0630,3523.65,6.318899591269613e-11,7.232584979987265e-06,0.026022897559903,3.124899689628706,92.47429633837402,-46.10687541138599,0.7467773722046331,0.0049505816693798,0.977381876962314,0.1325720921230888,685.0,4.372598397541793,0.07102767563383,0.028031984723714,2.5342987804878048,2.9212354437344337e-05,1.0494342054779609e-08,12.007547347585952,158.58131222697727,2.0,40.64177948631094,-54.3912479683262,2.0330274546371285,0.2744861417477535,1.7255032154328553e-05,0.0033579432554422,0.0028358845923565,0.0082735656345676,3.694739867885343,0.4367715880174679,295.9494010482209,-0.9778579768231782,0.0111949510208949,0.0265078338682294,0.0002967539018248,4.732442758455785,0.0310451871708283,2.247551834215756,0.1803918003801864,0.1405013138277279,0.1255235279625523,0.1268977251391153,0.1275463215011614,658.904296875,5.482272192225356,0.0023172092770034,0.0379210319385235,0.0412671956065086,0.5217140214652722,0.2978012730868537,1.1193537979262331,2.5456136377294403,3838.4907278519936,0.7119608404109441,0.0961337598251973,1.2005162104699088,57.02172256097561,0.06843120886566,0.2682777804215631,2015-06-20 06:30:00,BA-06,SM2,Arable land,2.0
BA-11_0_20150620_0515,7938.616666666667,-4.7625935431432185e-11,2.0602053835875075e-06,-0.0026698253899253,3.127602104968464,87.02046606405881,-49.249196235635154,0.5112236709086773,0.0034477850979434,0.9876060445079422,0.0702535320301916,363.0,4.020364870462883,0.02535320301916,0.0304181405895691,0.8336509146341463,3.131584955767868e-05,2.438341824231972e-09,10.68934458656308,136.7663710648956,7.0,35.43172143074001,-59.70055390350275,2.132275334242749,0.5053531702809978,0.0335902282047018,0.4906940768452166,0.3724004030289196,0.0335904828092209,8.138875257888483,2.161898761790622,299.50253285152064,-0.7436243842173567,0.1470360348841531,0.0068843413839342,0.0010122462598825,6.502776077328909,0.0102963276581648,2.3019285623325354,0.019425999739748,0.1292905330269108,0.1371141213321988,0.1249295908041851,0.1298045513937282,670.5703125,8.064743098856692,0.0051391459785133,0.0452032287143647,0.0866708820117754,0.5343572515976934,0.3181570977170145,1.544706116107073,4.061028858653872,19236.796065248556,0.8349626950397788,0.4339701417170885,1.238153095127783,222.0846036585366,0.463177204316686,0.4990898455807648,2015-06-20 05:15:00,BA-11,SM2,Arable land,5.0
BA-01_0_20150619_0545,3811.9,-1.465204498227144e-11,1.968668155438717e-05,-2.7861357527393604,82.86667532143069,96.82308605037944,-47.25335103729834,3.9124282831348864,0.0043384285372757,0.826304904919745,0.1826978904586801,944.0,9.719348148776485,0.1348945229340042,0.0452075653352588,2.984470274390244,2.877326804541912e-05,7.926722736478602e-09,14.334024588397863,228.7278564116904,12.0,39.51507444044624,-57.31534944289783,3.8304238833440536,0.251256763095519,0.0009884641433774,0.2281456145565025,0.1971093599561679,0.0167324447348569,7.375476024068955,1.6080534278688412,297.09057251465856,-0.9568609046783878,0.0220450494046238,0.0201949121841785,0.0004451978368222,8.483868184628706,0.0280354268441397,0.2179132349890972,0.8836300251581584,0.1341133928056606,0.1372869916628883,0.1254480018742554,0.1304608860820751,673.9609375,5.996627422515504,0.0043535103319783,0.0445196137607278,0.0807755683537028,0.5238442111417986,0.263495640855873,0.7814845597282601,2.318679140863716,5484.778932540815,0.6038463270943966,0.1327273952052842,1.2144296326989803,122.04649390243902,0.1742160278745644,0.2076146957400857,2015-06-19 05:45:00,BA-01,SM2,Arable land,4.0
BA-13_0_20150621_0615,5194.183333333333,-1.261872701801883e-10,1.4218265099372172e-05,-0.2012393447064095,97.52184567453642,95.4098269608336,-47.35891455045285,3.4516201986029955,0.0042860207816564,0.8332665828486259,0.1528933617185988,790.0,9.614341403336562,0.11167021482485,0.0461997028696536,2.4175876524390243,3.221233619027938e-05,7.989948327029577e-09,12.340166790427723,173.86824979035097,4.0,39.64841447641839,-57.59817797077743,4.246592447195823,0.3133182121867572,0.0002159177192216,0.1228722946981011,0.1052194495124878,0.0209453251574033,7.704200300412394,1.871195787415277,297.03278500669785,-0.949475812719103,0.0259168064313794,0.0205331833678595,0.0005321545387648,3.288525635106685,0.028766241652212,0.3279634555033243,0.8800220900562206,0.142507063368506,0.1300026292852691,0.1257096997702043,0.1287614480497483,665.181640625,5.713093816719983,0.0027845074767711,0.042452990085293,0.0503870178399912,0.5214637678027305,0.2925391552337257,1.0503018063613423,2.780576178579897,6509.917703077841,0.7061315273700104,0.1623573886843198,1.2064190366002394,40.01524390243903,0.0568243684668989,0.2610775960130999,2015-06-21 06:15:00,BA-13,SM2,Arable land,3.0
BA-02_0_20150621_0545,5248.833333333333,2.4164668195302093e-11,7.133884189814815e-06,-2.405009235449976,69.81202579779051,92.4146214350207,-48.22998492312202,2.2200488212135383,0.0038770442148314,0.9095935101721748,0.1542481130249661,797.0,7.47224778029863,0.1112831430230307,0.047345652208874,2.350895579268293,3.246698914219031e-05,3.742840489827824e-09,11.373966400507488,154.36374997654053,14.0,36.90234779118967,-59.06217532788784,2.964523119077519,0.4343136279438437,0.0542571964858747,0.3999125593070787,0.3199551587846698,0.0186274537881985,5.548094059126504,1.290961370386905,301.3618886447917,-0.7991820357203515,0.1116162568837819,0.0102637147774422,0.0011455974251808,8.140007886443524,0.0156263770638152,1.6654563264379754,0.5518420741849888,0.144656963286958,0.1732171065026158,0.1307401148812224,0.14686887521777,758.724609375,10.131123365373506,0.0182367281262098,0.0550908181562968,0.2758746225628479,0.5319496556079323,0.3086058012881023,1.300612854874037,3.5869061867532004,14212.076228381871,0.7860546491123629,0.282374425684986,1.2915441040393745,204.077743902439,0.5944441419860627,0.39504885735705275,2015-06-21 05:45:00,BA-02,SM2,Arable land,2.0
BA-15_0_20150620_0530,4178.833333333333,7.477936490051964e-11,6.40710357692253e-06,-0.0201239215369797,3.1030305213217986,91.9479783353248,-46.36133896736392,0.7818526052493695,0.0048076523070246,0.9781729814872744,0.1377975614476485,712.0,4.347813771666084,0.0839945809947745,0.0281493304956992,2.984470274390244,3.342680357715506e-05,9.869326047780972e-09,12.619380923509512,175.66798985623575,11.0,40.50136327441013,-54.55573743418771,2.057100708597844,0.2906083865002859,0.0082684081191928,0.4087369604547737,0.3502640315643952,0.028482001431886,25.820032822584317,3.960975322618402,297.2151089733485,-0.9492870047207184,0.0260161767643587,0.0252412138693262,0.0006566798817713,4.827549600693963,0.0267364198314935,2.2805487298839417,0.1059047918166252,0.1562713651452623,0.138950480413895,0.1261084775164122,0.1333849024874177,689.06640625,8.141932791632676,0.0098884987175764,0.0532115635485873,0.1351687938176881,0.5296198986912772,0.2932127388675815,1.058626605068924,2.6347205708183536,5657.547391596916,0.6958708853699016,0.1307152895716451,1.2381472010682484,203.07736280487805,0.6942176006581494,0.28426527186819084,2015-06-20 05:30:00,BA-15,SM2,Arable land,4.0
BA-04_0_20150620_0515,4672.083333333333,-1.3958663453429784e-10,1.0863938888334032e-05,-0.0227585716603208,7.663691326225077,94.24123402657048,-45.40492032375419,2.9933623163439336,0.005367276683949,0.91916359372053,0.2349525837042771,1214.0,7.541220928948902,0.2035997677569189,0.0768156990259416,2.651009908536585,6.607765362969068e-05,1.0887372937147483e-08,4.489310370794506,35.32875680037983,20.0,41.92643147225464,-57.23671326550749,6.163144737762124,0.6564655958128808,0.2141246357810213,0.4734806577781651,0.2945358712163506,0.1103565780551546,7.425337935743321,2.2069898958652283,309.9167073325889,-0.1066364289358373,0.8072782963807165,0.0260263625091981,0.0210105175874124,33.277805002932,0.0580981211758958,1.8977845213428373,0.4857799232643888,0.1466627128277361,0.1930216284592181,0.1267008286269251,0.1526186090543941,788.427734375,21.599430317775248,0.033203125,0.0697391482425396,0.3115070708608119,0.5550762797752266,0.3311501875317227,2.514188062708012,5.069586861344076,15285.7823540339,0.9510686192625136,0.3779401703652981,1.6778122214003002,440.1676829268293,3.350142457897793,0.6033992762012564,2015-06-20 05:15:00,BA-04,SM2,Arable land,9.0
BA-09_0_20150621_0417,5825.775731005091,-1.1954481009657694e-11,3.41880468380089e-05,3.783116890309525,261.21326736086866,99.22029231750174,-45.5121892754869,5.761180563418094,0.0053013995451031,0.7275934348745423,0.2022058823529411,1045.0,11.767179702330797,0.16234520123839,0.0681172795458509,2.383780179504548,5.479944174104151e-05,1.9415671205401732e-08,12.41310143990631,174.04813607300613,4.0,43.59879418196172,-56.61221637005828,7.211010552019999,0.3287806627011581,0.0031305760274592,0.1034147258079764,0.0807638880797625,0.013308708690327,4.248002168604469,0.8345013739996748,299.66965750669874,-0.8954280403977869,0.0551706302605226,0.0506504575261856,0.0027944176647034,7.937322549278076,0.0736579439315162,0.663082175510104,0.7844772500266981,0.1783289204402736,0.1919772641889241,0.1485533399063552,0.1662329748887168,858.92578125,8.14891969885325,0.0303118044803561,0.0675633768072107,0.439783421958365,0.5217345032242036,0.2956361351897301,1.0897786092101187,2.884230382551739,7906.821094771541,0.7155856229089982,0.1605527853563602,1.3027109470744929,197.03693511708923,0.3649588131410876,0.23921865169506393,2015-06-21 04:17:00,BA-09,SM2,Arable land,1.0
