site,day,ZCR,MEANt,VARt,SKEWt,KURTt,LEQt,BGNt,SNRt,M,Ht,ACTtFraction,ACTtCount,ACTtMean,EVNtFraction,EVNtMean,EVNtCount,MEANf,VARf,SKEWf,KURTf,NP,LEQf,BGNf,SNRf,Hf,EAS,ECU,ECV,EPS,EPS_KURT,EPS_SKEW,ACI,NDSI,rBA,AnthroEnergy,BioEnergy,BIO,ROU,ADI,AEI,LFC,MFC,HFC,ACTspFract,ACTspCount,ACTspMean,EVNspFract,EVNspMean,EVNspCount,TFSD,H_Havrda,H_Renyi,H_pairedShannon,H_gamma,H_GiniSimpson,RAOQ,AGI,nROI,aROI,H,species_richness,count,habitat
BA-01,2015-06-19,4070.2238095238095,-5.569931660040029e-11,1.1399651241087377e-05,-1.1759359417277104,40.54976650396461,93.8492875310784,-47.234632501827605,2.15514859510203,0.0044125160461344,0.9122756998509459,0.16722884237883268,864.0714285714286,6.950264435597368,0.11614918853161542,0.037851202740744286,3.060689786585366,3.049448154390732e-05,6.580064254954018e-09,12.686813256062353,186.66291145951183,14.142857142857142,38.42856004630441,-57.48660932068473,2.915169366989139,0.3332290383375554,0.060549484696322445,0.426235468825154,0.3150130897472313,0.044855480423907246,17.002207331247774,2.693861865709168,297.7478290857071,-0.8412417515459881,0.10077303164844621,0.01704298130027169,0.0013238743665040784,11.431107574419459,0.022314768491603392,1.4482437831157564,0.5732217125657746,0.13579259761334042,0.1419665427146468,0.12622983175614358,0.13267463838940044,685.3971819196429,8.421522810690648,0.007502129090965614,0.04653036661745285,0.11570309161678284,0.526232034360448,0.2887158179946493,1.04777465587325,2.897255020325203,8636.960594369808,0.6975814660022766,0.20160064165931488,1.2414741694491147,218.4403582317073,0.5761508109341298,0.30525081247374125,4.285714285714286,14,Arable land
BA-01,2015-06-20,4196.536904761904,-3.056751183070374e-11,7.932772047006903e-06,-0.14269156955335152,6.419935433108895,92.22850886165676,-46.731661165500284,1.1053066915844114,0.004698301797762843,0.9681241243874336,0.15066769885813813,778.5,4.994743836093632,0.09386491194116506,0.03460019953646518,2.7057926829268295,3.222470063959571e-05,7.645791793279951e-09,11.757960375982517,161.7450208029804,13.857142857142858,38.918952981226255,-56.595684651077995,2.5146376323042468,0.3561418411306159,0.0633742082219603,0.35379028643071325,0.26972964518470793,0.05942244095303544,14.680859195611816,2.43725105209338,298.45621153321673,-0.8165291855611907,0.12226644944041949,0.01979551133408872,0.0018133238867305784,12.36632766131091,0.02583400077244285,2.2023396954650503,0.21179320022585676,0.13489209902954433,0.1420744203076648,0.12550758116848046,0.13231746744683642,683.5520368303571,8.67691991306954,0.008371831964493056,0.04496957836902895,0.12207533475390243,0.529934178136984,0.2988814447255876,1.21997083011706,3.0673866534684406,8979.36441382208,0.7364824305685527,0.20154827111487622,1.2535404937222945,278.6775914634146,0.8218388346192135,0.34406955077927875,4.142857142857143,14,Arable land
BA-01,2015-06-21,4099.710714285714,-2.3748077385232507e-11,1.6063635141398465e-05,-0.5815064719544002,43.85420365885402,93.88229782212015,-45.94307134307379,1.7329599838220489,0.005175807326396264,0.9297973484164059,0.15565816030302188,804.2857142857143,6.086913381826068,0.1024081395670325,0.03644543932686793,2.7701028963414633,3.728405348512442e-05,1.2303232150233184e-08,11.363229205505357,155.1318895551296,16.5,40.086537583082794,-56.05110984404423,3.13764742712702,0.3734365301166041,0.0680472824905864,0.40742789221559855,0.31318878806650924,0.07278663814416966,10.35942166074727,2.406847551232753,301.3347843970323,-0.7706120837077738,0.17079147730456265,0.03115264348163881,0.0023287485558195144,14.694554381236626,0.03994004786045823,1.9106731006898683,0.3750456320099652,0.1390839331754151,0.14993003853426065,0.12540088438459926,0.13553119577353295,700.1541573660714,9.771642372947804,0.011162415614111456,0.047814000977117986,0.16575276909354578,0.538897327543029,0.30050962647668855,1.264165402472512,3.1821085935738607,9402.76627966948,0.7479146404770047,0.1987463708449571,1.2907076315682304,388.7909679878049,1.1158013764448869,0.34991570514059267,4.642857142857143,14,Arable land
BA-02,2015-06-19,6974.177380952381,3.4494180766906325e-12,2.6852266734084895e-06,-0.24944941462094125,15.930548678916434,87.33189167968395,-50.839689594747234,1.021510611420786,0.002925309341821786,0.9624216703259656,0.10532500207359892,544.2142857142857,5.129265056398631,0.05594569935580189,0.03126575213357202,1.7673399390243902,2.341956087336297e-05,2.4248054246980024e-09,12.24569907620708,174.260549571035,4.642857142857143,34.013321171337175,-61.257471806065205,2.2707929774023823,0.43220419494466,0.009149050845453728,0.31066401978942,0.24781159309889902,0.021028494963383437,11.166294283247515,1.860316939743049,296.96139020300296,-0.8467576268538869,0.08589466568077955,0.006410475744089621,0.0003497596867762214,4.405596234402144,0.008387816680574237,2.0662439350190343,0.18735406848761715,0.13262952646895115,0.13459655850514626,0.12681387499694383,0.13014570824518829,672.3327287946429,6.411539452341811,0.004945950687185385,0.04542590840523838,0.07992174826194558,0.5218396014666282,0.30505442100616065,1.2644357299414506,3.5628315618427098,16514.264825313792,0.769329598218167,0.4244272186185145,1.2151665434017587,66.5967987804878,0.15337070422681262,0.4173066672130395,2.357142857142857,14,Arable land
BA-02,2015-06-20,6852.3761904761905,8.651920160496042e-12,2.5912447099351055e-06,-0.15998341859114773,9.940251589549263,87.32664129385257,-50.37869542513338,0.8767227070557873,0.00311639089431595,0.9711473232701583,0.10367994691586713,535.7142857142857,4.945088941235629,0.05537891564599513,0.03267167588439332,1.7125571646341464,2.4844999191966103e-05,3.2583886685405507e-09,11.706825616162858,158.7035419835431,5.642857142857143,34.82138676323355,-60.427400033604656,2.248786796838207,0.426409590715681,0.02578870416170967,0.36910188238517355,0.3020519875110339,0.02096553026341146,11.670398306659436,1.942353078539451,297.6279093161619,-0.8469888854695975,0.08541968651178886,0.008526109549908751,0.0004290192330186143,4.871856033786274,0.011138532674099163,2.2266062217486837,0.13475649852574595,0.13306109504864042,0.1322205896401428,0.1265066025014283,0.12918659111256287,667.3779296875,7.170190754463463,0.004260234327470772,0.04524821744361928,0.06958052126505017,0.5217269019533485,0.308701299334286,1.3287588146547542,3.5356494121432545,15047.618522441891,0.7819334356063151,0.3794855174203599,1.2202234124749887,73.59946646341463,0.17409720493888606,0.41378101387659677,2.5714285714285716,14,Arable land
BA-02,2015-06-21,5942.066666666667,-2.051549712031466e-11,4.951494008392889e-06,-0.5203555299889618,25.20267668900946,89.31729743733224,-49.24781417822855,1.2798567414309328,0.0035141657714947427,0.9520611736315612,0.11504326909784617,594.4285714285714,5.643254691807944,0.06729519754485881,0.03694193783281456,1.8030678353658536,2.771468281929988e-05,3.82250155415474e-09,11.073691642729978,147.12671342219565,6.714285714285714,35.79770267594508,-59.833642604813456,2.631345280758545,0.43622681108504086,0.02482850388110311,0.34955928515889184,0.28376032708295534,0.03733040679352735,12.137380673624625,2.2298502904830326,297.9923920401012,-0.8377393113062066,0.09448915935809121,0.010222481274386729,0.0006122007825101857,6.273481955406271,0.01421562293487287,1.96182843552336,0.2742103831452816,0.14277035844609418,0.14427189944714022,0.12693742488795648,0.1345659754628477,695.1678292410714,7.477908229043062,0.009276425572769713,0.04770455018559482,0.13655305254955602,0.5267641710402117,0.30932960513016183,1.377776495556197,3.60194219983486,14340.803003142559,0.7917468694262071,0.3236762695053321,1.2370378881454875,156.9169207317073,0.38902359088960786,0.41763145110454536,2.857142857142857,14,Arable land
BA-03,2015-06-19,3595.6142857142854,4.633939123311405e-12,1.4406052183985996e-05,-0.2907854139496075,26.60768567761588,94.77721365492793,-46.94825303376585,2.491300392568248,0.0045970836083926644,0.9016014900172449,0.17622826177112993,910.5714285714286,7.315121788841748,0.12535596781774444,0.03749084999655929,3.3500857469512195,2.8576739963086033e-05,9.857604167587392e-09,13.658063534577602,207.98124886572145,4.214285714285714,39.59004579665096,-56.60885784600362,3.198903642654591,0.2675576449987435,0.0164860456304514,0.2813335278150577,0.2299126485623038,0.06983367844710076,9.016364516275319,2.037497366587959,299.3235826555375,-0.9396636169115904,0.03198969049700598,0.02487086137192911,0.0005580355576699428,8.017274524221005,0.030433004077681895,1.1323548368831726,0.6872088167488425,0.14284331618826387,0.14538047295784534,0.12657211598830534,0.13489028106161158,696.8431919642857,7.270215088366795,0.008925978928156586,0.04832755909257508,0.13524789431665202,0.5318552346410296,0.2759500077406618,0.8925330330219403,2.4497027374397136,5618.0655143411395,0.6416053427003909,0.14621583326042015,1.241979964190462,226.15758384146343,0.6226645892096677,0.24217854769057182,2.642857142857143,14,Arable land
BA-03,2015-06-20,3816.8380952380953,-2.1423570240797218e-11,8.414492517612305e-06,-0.023409484474072127,4.574760824245961,92.15473024756167,-46.947263895610774,0.9310816614196317,0.004729714863308857,0.9726913608757266,0.14764024440819482,762.8571428571429,4.6790662224872674,0.08662113964997645,0.029829809687120228,2.9070598323170733,2.8089184545538378e-05,1.0538058327982859e-08,12.864014217153407,184.4819662370683,5.642857142857143,38.948220378688085,-56.10311263331281,2.051333012000895,0.29519275110356713,0.007838479125323197,0.3014175469420865,0.24386599464561337,0.06206701506903817,8.693637862969375,1.9924633882710199,297.90531322757124,-0.9437443998020563,0.029560327232736872,0.026580957260367605,0.00038142918568259286,6.917356494699468,0.03162049621773495,2.093725894303629,0.2962173707966948,0.1390756960109766,0.13650678305320646,0.1260839693007598,0.13108416639013326,677.1808035714286,6.5096044800161454,0.005566017374937714,0.04386452584755263,0.08886941058591856,0.5265816421533577,0.2894253649650314,1.0298288224331666,2.656252307369322,6600.170447117305,0.6881916986524456,0.17518826687668954,1.2221366966938167,206.7216082317073,0.42126511427741825,0.28706699839816746,3.4285714285714284,14,Arable land
BA-03,2015-06-21,3370.538095238095,-2.2559490889730466e-11,9.95371734374797e-06,-0.14720702921075748,8.550725976301143,93.30115958740666,-45.50744180152863,0.894036668215949,0.00543803327222115,0.9712484402726705,0.13323564378335034,688.4285714285714,4.682578878149397,0.07163593132240312,0.030211708162611744,2.3735232469512195,3.2501386123575644e-05,1.0797144584258295e-08,11.743340309755329,157.82245922866923,6.571428571428571,39.97888437446811,-55.33475786100661,2.313642235474712,0.3236312721043035,0.019490385550346993,0.40330945700322357,0.3191619313527721,0.06970722140041387,12.74503958375078,2.7006225100543597,298.7868190474591,-0.948257762833412,0.02695023862213784,0.027716660884984253,0.0005606178676007429,8.228252211166279,0.03552417686487969,1.8445713762868157,0.37568220775916716,0.15185359734622095,0.14340954415764823,0.12588796291746743,0.1346162591688098,695.4275948660714,7.293666490956638,0.008076637984970365,0.04569934719442864,0.12781477389931095,0.5301353296290136,0.29940810514835847,1.1590603675567261,2.8622075804350797,6161.539878261076,0.7303873589741574,0.13684144858503405,1.238792412788117,241.3062118902439,0.5627805301490515,0.31460261525441874,3.5714285714285716,14,Arable land
BA-04,2015-06-19,4484.675,-2.2758854765256875e-12,6.375551096090021e-06,0.07348459084489581,4.9012904703581475,91.34583653067226,-47.09792001626047,1.165234158561977,0.004535800963270014,0.9652913304719701,0.14161298349415244,731.7142857142857,5.082094739109655,0.08740910724653705,0.0349569505819949,2.4842797256097557,3.574195223339474e-05,6.046985115655002e-09,10.580547293337062,139.7695148747865,10.928571428571429,37.84313890239939,-58.0110742817247,2.854213184124095,0.45160234200447436,0.06407053243353013,0.37877876708319047,0.29357925299439663,0.05341301948870011,12.265941115818368,2.5192904931295343,299.0451425841099,-0.7316001354902358,0.1767879885363143,0.016239112917325178,0.0022380501831379502,18.81030610759523,0.021380437073755715,2.202889317032013,0.17098468571290426,0.14491084446233082,0.15274180625687078,0.1259682525440477,0.1373998484683507,709.8076171875,9.823308861460475,0.011177295486283887,0.052906277076375664,0.14578687256095715,0.5293024737137133,0.3109710359845831,1.4408427673237565,3.704012981347144,13969.779781663423,0.8015786637126564,0.2790851326161805,1.2704451989652334,263.7433307926829,1.0295872350464577,0.43500931387589736,4.642857142857143,14,Arable land
