site,ZCR,MEANt,VARt,SKEWt,KURTt,LEQt,BGNt,SNRt,M,Ht,ACTtFraction,ACTtCount,ACTtMean,EVNtFraction,EVNtMean,EVNtCount,MEANf,VARf,SKEWf,KURTf,NP,LEQf,BGNf,SNRf,Hf,EAS,ECU,ECV,EPS,EPS_KURT,EPS_SKEW,ACI,NDSI,rBA,AnthroEnergy,BioEnergy,BIO,ROU,ADI,AEI,LFC,MFC,HFC,ACTspFract,ACTspCount,ACTspMean,EVNspFract,EVNspMean,EVNspCount,TFSD,H_Havrda,H_Renyi,H_pairedShannon,H_gamma,H_GiniSimpson,RAOQ,AGI,nROI,aROI,H,LAT,LON,species_richness,count,habitat
TE-06,9928.67,-8.110440470573613e-11,1.1346928369239285e-05,-0.004442772124492429,5.222889560084799,88.19169488828256,-41.65628334758471,1.0829568032577233,0.008427605562942827,0.9733381327508523,0.11966969872911419,618.3333333333334,5.269866970314634,0.09096187342752075,0.05582423354700847,1.6484057418699187,7.351733170621296e-05,1.453319248026247e-08,3.7355696967261136,21.94988395998944,16.0,36.654809616162645,-54.873878703642255,4.549288233084522,0.6710690096299651,0.1260202850859434,0.5069534977541749,0.37475299888035757,0.21309027501386377,46.33026913548636,5.3934251092907886,295.3760848597771,0.4934820001000556,4.887740768582036,0.010586651162014267,0.041075655686727566,47.2777223548726,0.058663556628066035,2.2195738059048393,0.184091605670843,0.1602990639835476,0.19256961222527932,0.12850491022792915,0.1544353001193702,797.8127604166667,11.869790273629777,0.030801000532326706,0.06329528490764727,0.3439714666257638,0.5180433268311219,0.3323726254123237,3.214655073987183,5.168807599416524,16722.129763250032,0.9659542979032452,0.3091201886274944,1.330899911713895,180.33536585365854,3.1638835454574785,0.6533772285401752,0.53624,-79.144937,4.866666666666666,15,Forest - Subtropical-tropical moist montane
TE-07,10288.668888888888,1.5179341890182217e-11,7.305317979360482e-06,-0.8274057006110367,70.26178353468146,82.31882191346067,-48.028283444708656,1.2501611131618153,0.0047340351942590665,0.9558878359390639,0.10830269014902259,559.6,5.401309592120934,0.07702728856202821,0.04738715686826702,1.3116107723577235,4.52257755533776e-05,1.0624013424500874e-08,7.512044713264204,77.13002780824405,10.866666666666667,30.52029899084898,-60.35534318066857,3.896242084797183,0.6159264206928747,0.04186675140126603,0.36386962653034904,0.2307692438664647,0.13544553194901024,74.64069947485078,7.4251256873338285,296.83869882814605,-0.1400768866011876,2.443841377886721,0.006383836790889833,0.0271075335837609,21.55932172125751,0.04617159055854212,2.1315546129956213,0.16066885954680643,0.13562134304220447,0.15354011523308506,0.12677593176912758,0.13730375491998967,709.3111979166666,7.781128810553346,0.012623201380823287,0.04871916518175517,0.1557817634516048,0.5224825875837223,0.32834931781691157,2.2378664172358538,4.798701281037194,24881.130547878638,0.9183501705647834,0.5060046242151217,1.2492651761665674,74.49504573170731,1.2042531697638406,0.5912104503410912,0.5361,-79.14217,1.8,15,Forest - Subtropical-tropical moist montane
TE-08,11049.92,1.401231587906501e-10,8.961229467329218e-06,-0.004612990682212113,3.9245665120243363,81.56127210880976,-47.834145819739206,0.6763346591339664,0.005536726820704293,0.9839861541836249,0.07689826462808846,397.3333333333333,4.375631302477291,0.05111928262692725,0.03849968783721306,0.9681465955284553,5.0218981329643616e-05,1.1347043865365584e-08,6.263603936184734,60.74189840447876,9.4,29.919088564542708,-60.029932732179404,2.969621210001735,0.6942371092412143,0.04589365370890115,0.4812263378182886,0.30321731721684186,0.13162913524375944,77.56678029011691,7.6724684215011605,296.01684196323805,-0.2330637073439242,0.941411276315517,0.013306569458072159,0.025359441122548333,20.805564607824913,0.04587397897278251,2.279591861078017,0.0665030362211609,0.1339140534262485,0.15655164751291004,0.1289655539105973,0.1391847183910827,719.0282552083333,7.960404807418896,0.01434492051393724,0.05156982703821993,0.17147437185193304,0.5200077228799219,0.33012086899849485,2.7208324326961764,5.3002613687520865,32371.565543397897,0.9423816594686042,0.6201742520444226,1.256755002814679,82.63147865853658,1.4135694928377858,0.6839358541934435,0.535288,-79.143201,2.0,15,Forest - Subtropical-tropical moist montane
TE-09,10712.526666666667,1.5881212403485494e-10,3.0669551521256054e-05,-0.0026755424534388133,3.790068377038327,91.04358066061491,-37.942133243480455,0.6703628407678679,0.013998002512885552,0.9854450322404872,0.07945293852009543,410.53333333333336,4.4200372402772405,0.05397071156699564,0.04236621489773739,1.1648882113821137,0.00011490031865305234,4.3587609331233515e-08,3.3764801400554942,17.747151998116234,17.4,40.03932225431448,-50.41820754320904,3.478129710803147,0.6832024195134513,0.04365454207887975,0.3929521176992558,0.263459087674818,0.20326945100751667,37.713338843778224,4.89514973699137,295.8794156729375,0.6411681273990408,7.480037620344545,0.015473931716119113,0.13131695450298606,41.21659802658267,0.18383611253202436,2.28170858941211,0.09006991983502632,0.14952293089293606,0.18403085304089603,0.13341236886719976,0.15262939673667564,788.4834635416667,9.381060901691814,0.02745152600335522,0.06103782068717866,0.3399717731605079,0.5192195369029181,0.3327532733546508,3.314328125266043,5.2473620731079125,16054.572624223689,0.9712533471268898,0.26799033324398314,1.2939695525993549,199.609375,2.740063738062976,0.6733759703583178,0.534832,-79.144847,3.8,15,Forest - Subtropical-tropical moist montane
TE-10,10907.824444444444,8.628073286125239e-12,3.243224351875112e-05,-0.0004536943802067934,5.476455172587036,91.70289408833682,-38.82721131500986,1.6462833854766252,0.012332668898156386,0.9635934159914519,0.18228501387007284,941.8666666666667,5.460158783982438,0.1471517966582801,0.06227770840194981,2.5254065040650406,0.00010405845449356853,5.113278174783826e-08,4.919648559805229,35.689547714183284,15.866666666666667,40.758040606853264,-51.82738329474653,5.606023814879429,0.5961725387023235,0.12791174002181854,0.5114588377311298,0.3951830899545775,0.22250692458741372,44.96103131368191,5.480253903459985,296.77535049802464,0.7135583242457478,11.094048613308972,0.0143651534901426,0.14310944572745912,45.21502398629486,0.20527047246497962,2.197700221564793,0.20876815812772556,0.16713069359670293,0.1922789416333175,0.12827505916587875,0.15533287057200926,802.449609375,11.262385241397986,0.028275145381662106,0.058613614844718095,0.3452547558971896,0.5230835677547836,0.3306519378131009,2.7774695290553257,4.68781585267546,11423.82006346175,0.9403599767390691,0.22290758146826012,1.3169810529498207,177.93445121951217,3.3849024874177314,0.5760471782552441,0.530126,-79.144266,5.266666666666667,15,Forest - Subtropical-tropical moist montane
TE-11,9318.06111111111,5.746718645921013e-10,8.391905809385318e-05,-0.01158468196770073,10.024737223133974,92.66925039024413,-38.34996939927445,1.9610361140407397,0.016045742089906726,0.953805617122779,0.15121605057738208,781.3333333333334,6.193766753259749,0.1291400554802916,0.06068327740532251,2.2386305894308944,0.0001373739083655167,1.3711284335364928e-07,4.797268667498859,32.68550361394036,16.933333333333334,41.76255142824153,-50.968395136390164,5.7515464779113215,0.5985362452354438,0.16422963229834123,0.589750035003829,0.34497628437584815,0.2260685221540052,79.28870568952307,7.735010523215509,300.67563679978105,0.25742739014724697,8.738483848871276,0.06539027370905277,0.3810273394770101,40.86201351257012,0.6366950544903901,2.150302122100261,0.23324249430968672,0.14860283962515408,0.1912593862378654,0.13339940859044802,0.15572830970125173,804.4924479166667,11.737086490113414,0.02909639550264546,0.058855674350315274,0.35864569487668646,0.5309379241610724,0.3312606364272961,2.7291063382724214,4.705782122374992,11641.784996163116,0.9461010143263794,0.21014641663300504,1.3633538555800095,187.47141768292684,3.316640151148535,0.5729381798701766,0.530492,-79.145512,2.933333333333333,15,Forest - Subtropical-tropical moist montane
TE-12,11062.122222222222,1.330208061241457e-10,2.386734774198549e-05,-0.005785029718290307,4.569975319248041,90.78952446894455,-38.53035977044552,0.9718595042827413,0.01209834138064162,0.979462093488108,0.0961228307851106,496.6666666666667,4.734640797710621,0.06634410683181725,0.03909732155663832,1.2815993394308942,0.00010889024034889234,3.3516319587832785e-08,2.9630253539252425,12.61697292937586,13.133333333333333,39.84584189340034,-50.96374972883746,3.830191535517434,0.6954473286097124,0.06540178157348624,0.4494761535568887,0.3169941477559807,0.16220352729332604,40.99987748309137,5.27222918947496,297.66448565314636,0.6557745295014278,5.4748249046328255,0.021298234514960206,0.10235041093804197,47.37986479070733,0.1913597343542721,2.267191160062559,0.09025887945797119,0.13661337221274947,0.1667474775078792,0.1303426110083704,0.14422909407665502,745.0875,8.593006889493827,0.01617310499741897,0.05329604108330868,0.22505984163238138,0.5228023576304984,0.3330549538563149,3.6239578826607777,5.327084677752851,15808.805301108436,0.977602426343214,0.2502679900030225,1.2644898860508436,122.78010670731707,1.4144289787391922,0.6815776089547093,0.5338,-79.14513000000001,3.4,15,Forest - Subtropical-tropical moist montane
TE-13,9807.72738095238,-1.5724629774228492e-11,9.243529261938558e-05,0.017456369389744823,22.354515638396176,95.43443382839457,-35.78704686262301,2.481634955421286,0.018429286818212934,0.9289247265529432,0.18351350604108485,948.2142857142857,6.979374913720245,0.1466587409107246,0.058821997232606164,2.530725990853658,0.0001735242902363361,1.304782316521975e-07,4.918083190530308,37.388566666621806,12.142857142857142,44.36175416145369,-48.151040644125835,5.53339471885915,0.616806627526027,0.09020464808001878,0.371429089009831,0.2836696685838416,0.13653876843894258,61.095335388213435,6.0405632408758265,303.52827201905956,0.3415524672522121,23.23991397372296,0.173251864732024,0.2499618675839237,35.22048795412429,0.6439576735081713,2.146480860336801,0.2510788599488253,0.1838873414787122,0.20519737828612597,0.15788857152826583,0.17711058159290133,914.9532645089286,12.238713971616876,0.0462893649583817,0.06607385300190598,0.5621253694015459,0.5205376637649733,0.33075657591397173,2.7898202893147883,4.818331711785275,14633.937486888328,0.9438488164709194,0.22753676291878522,1.424806576595548,122.40377286585365,2.6435807745354234,0.5743584289605842,0.5291,-79.145147,3.357142857142857,14,Forest - Subtropical-tropical moist montane
TE-14,8194.19888888889,-6.793946675115929e-11,4.790924665745352e-05,-0.006179594118248094,4.554762393720606,92.2621807241937,-37.90344128630359,1.013765767199986,0.015102354668188187,0.9746525752981209,0.12706277014386164,656.5333333333333,4.705024813344636,0.08809754209405841,0.04262879919312812,1.7451092479674797,0.00010598703744140233,7.817930686465462e-08,5.1217057874713054,33.92776739076079,13.533333333333333,41.281576868661666,-49.38039674686919,3.6825735288104826,0.5418102239952336,0.05971537931576958,0.35079143147089964,0.23838342762572734,0.1428642141572721,65.59990678468064,6.125296065984048,298.376745957234,0.17903500146580756,8.114916687588067,0.02809456114957069,0.19783892836656722,32.52642142922574,0.301400994088321,2.200263388394048,0.20697003411763057,0.14648753579734378,0.1680850314996656,0.13743758712878357,0.14980803974706408,773.9083333333333,9.42445484456186,0.02115398962769385,0.059822140348100614,0.27372277879299517,0.5206672969769671,0.3311561381122911,2.716921720197593,4.347877204337491,7222.334099483124,0.9381179379486764,0.1763964428266823,1.2936561240860136,133.1173780487805,1.711201142889405,0.5277676042088141,0.530182,-79.145992,2.533333333333333,15,Forest - Subtropical-tropical moist montane
TE-15,8561.177777777779,6.753077460910829e-11,3.8784396751237366e-05,-0.0038076126360837266,12.400661669296024,93.01853704813628,-36.82261112778535,1.0934850079448366,0.015265044120112,0.9620807037925406,0.0784078446551835,405.1333333333333,5.4178407484029405,0.046513128185278314,0.03971019177294475,1.1515497967479675,0.00011881736451410797,6.113220118401048e-08,4.206974157243099,27.292906301382693,15.533333333333333,42.16311091221022,-48.6710552509299,3.8547660764197547,0.6176410008867497,0.144058995164583,0.5408278440524525,0.38811499720199033,0.23950542331116015,82.26966639775975,7.679209789772319,296.90517671830077,0.18704220800083113,2.1082486565652347,0.07103742895506464,0.13388651996379808,45.428302002559846,0.24762375177086243,2.172121455568786,0.20634540772619347,0.142279717630003,0.17514649121535777,0.12799170542287885,0.14654763921151115,757.0651041666666,11.016795367818428,0.02026987857304164,0.05675619855848004,0.2568728215235131,0.5219853686507272,0.3316070867172987,2.8924581031916765,4.829146793877181,9528.559094686016,0.9541142066642495,0.32424933396907946,1.2968878449352845,159.79420731707316,1.9907331792811975,0.5960113433702148,0.52919,-79.14689,1.9333333333333333,15,Forest - Subtropical-tropical moist montane
