indice,r,lower_bound_ci,upper_bound_ci,p_boot,p_perm,habitat,r_threshold
EPS_SKEW,-0.17068602307964253,-0.24,-0.12,0.0,0.0,all_balanced,0.10425824462733016
ACI,0.3578549086288706,0.31,0.4,0.0,0.0,all_balanced,0.10425824462733016
NDSI,0.32349609407102514,0.28,0.37,0.0,0.0,all_balanced,0.10425824462733016
rBA,0.32349609407102514,0.28,0.37,0.0,0.0,all_balanced,0.10425824462733016
AnthroEnergy,-0.037724480247611776,-0.09,0.02,0.1419999999999999,0.169,all_balanced,0.10425824462733016
BioEnergy,0.3121241754780514,0.27,0.36,0.0,0.0,all_balanced,0.10425824462733016
BIO,0.5093745205753043,0.47,0.55,0.0,0.0,all_balanced,0.10425824462733016
ROU,0.09006210678162851,0.04,0.14,0.002,0.001,all_balanced,0.10425824462733016
ADI,-0.13947535247819584,-0.2,-0.09,0.0,0.0,all_balanced,0.10425824462733016
AEI,0.1391779284149239,0.09,0.2,0.0,0.0,all_balanced,0.10425824462733016
LFC,0.37964515298151685,0.33,0.43,0.0,0.0,all_balanced,0.10425824462733016
MFC,0.6018496579758552,0.57,0.64,0.0,0.0,all_balanced,0.10425824462733016
HFC,-0.04981450785993607,-0.1,0.0,0.05800000000000005,0.068,all_balanced,0.10425824462733016
ACTspFract,0.5307120561627183,0.49,0.58,0.0,0.0,all_balanced,0.10425824462733016
ACTspCount,0.5306589241840896,0.49,0.58,0.0,0.0,all_balanced,0.10425824462733016
ACTspMean,0.5508956346029574,0.51,0.59,0.0,0.0,all_balanced,0.10425824462733016
EVNspFract,0.5863980727528069,0.55,0.63,0.0,0.0,all_balanced,0.10425824462733016
EVNspMean,0.43826901551672487,0.39,0.48,0.0,0.0,all_balanced,0.10425824462733016
EVNspCount,0.5776670194482225,0.54,0.62,0.0,0.0,all_balanced,0.10425824462733016
TFSD,0.5116745418574873,0.47,0.55,0.0,0.0,all_balanced,0.10425824462733016
H_Havrda,0.23212412683855316,0.18,0.28,0.0,0.0,all_balanced,0.10425824462733016
H_Renyi,0.23212412683855316,0.18,0.28,0.0,0.0,all_balanced,0.10425824462733016
H_pairedShannon,0.170732163945373,0.12,0.23,0.0,0.0,all_balanced,0.10425824462733016
H_gamma,0.07085175643650292,0.02,0.13,0.006,0.008,all_balanced,0.10425824462733016
H_GiniSimpson,0.2190892788026709,0.17,0.27,0.0,0.0,all_balanced,0.10425824462733016
RAOQ,0.02773601532488912,-0.03,0.09,0.316,0.317,all_balanced,0.10425824462733016
AGI,0.5581082216043398,0.52,0.6,0.0,0.0,all_balanced,0.10425824462733016
nROI,0.6822173462769483,0.65,0.71,0.0,0.0,all_balanced,0.10425824462733016
aROI,0.6665322186647422,0.63,0.7,0.0,0.0,all_balanced,0.10425824462733016
ZCR,0.08535853765927917,0.06,0.12,0.0,0.0,all_unbalanced,0.05886881110964595
MEANt,0.01612799860916126,-0.01,0.04,0.28,0.282,all_unbalanced,0.05886881110964595
VARt,0.07550021749871462,0.05,0.1,0.0,0.0,all_unbalanced,0.05886881110964595
SKEWt,-0.008034136454428742,-0.04,0.02,0.554,0.6,all_unbalanced,0.05886881110964595
KURTt,0.11789370116421262,0.09,0.15,0.0,0.0,all_unbalanced,0.05886881110964595
LEQt,0.07539165995036197,0.05,0.1,0.0,0.0,all_unbalanced,0.05886881110964595
BGNt,0.1069159339514304,0.08,0.14,0.0,0.0,all_unbalanced,0.05886881110964595
SNRt,0.16116047377474205,0.13,0.19,0.0,0.0,all_unbalanced,0.05886881110964595
M,0.1069159339514304,0.08,0.14,0.0,0.0,all_unbalanced,0.05886881110964595
Ht,-0.14344659800809437,-0.17,-0.11,0.0,0.0,all_unbalanced,0.05886881110964595
ACTtFraction,0.2117957822664785,0.18,0.24,0.0,0.0,all_unbalanced,0.05886881110964595
ACTtCount,0.211758202022895,0.18,0.24,0.0,0.0,all_unbalanced,0.05886881110964595
ACTtMean,0.13619058026184405,0.11,0.17,0.0,0.0,all_unbalanced,0.05886881110964595
EVNtFraction,0.24449929073637122,0.22,0.27,0.0,0.0,all_unbalanced,0.05886881110964595
EVNtMean,0.2620264195046165,0.23,0.29,0.0,0.0,all_unbalanced,0.05886881110964595
EVNtCount,0.1938908802851262,0.17,0.22,0.0,0.0,all_unbalanced,0.05886881110964595
MEANf,0.20919636293880922,0.18,0.24,0.0,0.0,all_unbalanced,0.05886881110964595
VARf,0.10311207185623113,0.08,0.13,0.0,0.0,all_unbalanced,0.05886881110964595
SKEWf,-0.28903540332319105,-0.31,-0.26,0.0,0.0,all_unbalanced,0.05886881110964595
KURTf,-0.2859467688640061,-0.31,-0.26,0.0,0.0,all_unbalanced,0.05886881110964595
NP,0.5936670375765817,0.57,0.61,0.0,0.0,all_unbalanced,0.05886881110964595
LEQf,0.10825698351347857,0.08,0.14,0.0,0.0,all_unbalanced,0.05886881110964595
BGNf,0.018268001231545553,-0.01,0.05,0.218,0.238,all_unbalanced,0.05886881110964595
SNRf,0.3111262184291782,0.28,0.34,0.0,0.0,all_unbalanced,0.05886881110964595
Hf,0.2115361860137221,0.19,0.24,0.0,0.0,all_unbalanced,0.05886881110964595
H,0.19670296382165303,0.17,0.22,0.0,0.0,all_unbalanced,0.05886881110964595
EAS,0.6161677391318506,0.59,0.64,0.0,0.0,all_unbalanced,0.05886881110964595
ECU,0.3754946545417776,0.35,0.41,0.0,0.0,all_unbalanced,0.05886881110964595
ECV,0.3490980366487445,0.32,0.38,0.0,0.0,all_unbalanced,0.05886881110964595
EPS,0.5871999384904092,0.56,0.61,0.0,0.0,all_unbalanced,0.05886881110964595
EPS_KURT,-0.21834096821045404,-0.25,-0.18,0.0,0.0,all_unbalanced,0.05886881110964595
EPS_SKEW,-0.19035934025397808,-0.22,-0.16,0.0,0.0,all_unbalanced,0.05886881110964595
ACI,0.42795748125079613,0.4,0.45,0.0,0.0,all_unbalanced,0.05886881110964595
NDSI,0.35164800572114924,0.33,0.38,0.0,0.0,all_unbalanced,0.05886881110964595
rBA,0.35164800572114924,0.33,0.38,0.0,0.0,all_unbalanced,0.05886881110964595
AnthroEnergy,0.03616431038692872,0.01,0.06,0.01,0.016,all_unbalanced,0.05886881110964595
BioEnergy,0.3574885870431692,0.33,0.38,0.0,0.0,all_unbalanced,0.05886881110964595
BIO,0.5717845540592141,0.55,0.59,0.0,0.0,all_unbalanced,0.05886881110964595
ROU,0.12113224427532053,0.09,0.15,0.0,0.0,all_unbalanced,0.05886881110964595
ADI,-0.17123059638911395,-0.2,-0.14,0.0,0.0,all_unbalanced,0.05886881110964595
AEI,0.16411281066227265,0.13,0.19,0.0,0.0,all_unbalanced,0.05886881110964595
LFC,0.3965377232877754,0.37,0.42,0.0,0.0,all_unbalanced,0.05886881110964595
MFC,0.6192700301664327,0.6,0.64,0.0,0.0,all_unbalanced,0.05886881110964595
HFC,-0.15179560926081767,-0.18,-0.12,0.0,0.0,all_unbalanced,0.05886881110964595
ACTspFract,0.5310025633357615,0.51,0.55,0.0,0.0,all_unbalanced,0.05886881110964595
ACTspCount,0.5309465909729284,0.51,0.55,0.0,0.0,all_unbalanced,0.05886881110964595
ACTspMean,0.6206567572069259,0.6,0.64,0.0,0.0,all_unbalanced,0.05886881110964595
EVNspFract,0.6155785733250998,0.6,0.64,0.0,0.0,all_unbalanced,0.05886881110964595
EVNspMean,0.48212828400984736,0.46,0.51,0.0,0.0,all_unbalanced,0.05886881110964595
EVNspCount,0.6017901249889459,0.58,0.62,0.0,0.0,all_unbalanced,0.05886881110964595
TFSD,0.587594253898446,0.57,0.61,0.0,0.0,all_unbalanced,0.05886881110964595
H_Havrda,0.24616024145329074,0.22,0.27,0.0,0.0,all_unbalanced,0.05886881110964595
H_Renyi,0.24616024145329074,0.22,0.27,0.0,0.0,all_unbalanced,0.05886881110964595
H_pairedShannon,0.2126072585856261,0.19,0.24,0.0,0.0,all_unbalanced,0.05886881110964595
H_gamma,0.11450940630349747,0.08,0.15,0.0,0.0,all_unbalanced,0.05886881110964595
H_GiniSimpson,0.2449226541114289,0.22,0.27,0.0,0.0,all_unbalanced,0.05886881110964595
RAOQ,0.0793582311077455,0.05,0.11,0.0,0.0,all_unbalanced,0.05886881110964595
AGI,0.5931406521391684,0.57,0.61,0.0,0.0,all_unbalanced,0.05886881110964595
nROI,0.7413450439815689,0.72,0.76,0.0,0.0,all_unbalanced,0.05886881110964595
aROI,0.707988957396359,0.69,0.72,0.0,0.0,all_unbalanced,0.05886881110964595
ZCR,-0.0720337770709607,-0.15,0.01,0.07000000000000006,0.065,Arable land,0.15828210071471288
MEANt,-0.025355924568389004,-0.11,0.05,0.56,0.517,Arable land,0.15828210071471288
VARt,-0.14020526751310314,-0.21,-0.06,0.0,0.0,Arable land,0.15828210071471288
SKEWt,0.06575585849718385,-0.02,0.14,0.098,0.087,Arable land,0.15828210071471288
KURTt,-0.28304846934902095,-0.35,-0.21,0.0,0.0,Arable land,0.15828210071471288
LEQt,-0.1400801681289514,-0.21,-0.06,0.0,0.0,Arable land,0.15828210071471288
BGNt,0.07643238145886082,-0.0,0.15,0.058,0.055,Arable land,0.15828210071471288
SNRt,-0.2612649840516095,-0.33,-0.19,0.0,0.0,Arable land,0.15828210071471288
M,0.07643238145886082,-0.0,0.15,0.058,0.055,Arable land,0.15828210071471288
Ht,0.2665038586085226,0.19,0.34,0.0,0.0,Arable land,0.15828210071471288
ACTtFraction,-0.15397401181025405,-0.23,-0.08,0.0,0.0,Arable land,0.15828210071471288
ACTtCount,-0.15418444095910105,-0.23,-0.08,0.0,0.0,Arable land,0.15828210071471288
ACTtMean,-0.2788154575487075,-0.35,-0.2,0.0,0.0,Arable land,0.15828210071471288
EVNtFraction,-0.1827185702764518,-0.26,-0.11,0.0,0.0,Arable land,0.15828210071471288
EVNtMean,-0.2502707792017222,-0.32,-0.18,0.0,0.0,Arable land,0.15828210071471288
EVNtCount,-0.055446742639288074,-0.13,0.02,0.16399999999999992,0.152,Arable land,0.15828210071471288
MEANf,0.0018435628861813692,-0.07,0.08,0.958,0.969,Arable land,0.15828210071471288
VARf,-0.0655222141612739,-0.14,0.01,0.1140000000000001,0.095,Arable land,0.15828210071471288
