,site,residual
0,BA-01,1.938561752187713
1,BA-02,0.5799001847441891
2,BA-03,0.9036160825939654
3,BA-04,1.9086210379531776
4,BA-05,-2.2835625208173465
5,BA-06,-1.470675638699887
6,BA-07,1.6485306298912286
7,BA-09,-0.8052097718305204
8,BA-10,-0.13693715911952342
9,BA-11,1.1678109449900465
10,BA-12,-1.2849325892520609
11,BA-13,0.5696951067936897
12,BA-14,-0.0328225697625526
13,BA-15,-0.2999185438837668
14,BA-16,-1.7564254064832865
15,FS-01,1.0360498481162175
16,FS-02,-1.4135422689459438
17,FS-03,0.830363188761488
18,FS-04,2.014877069400238
19,FS-05,1.3208600121734255
20,FS-06,0.5387842989270144
21,FS-07,-0.7475755667441826
22,FS-08,2.382029261418099
23,FS-10,0.24732669431108167
24,FS-11,-0.22743192459080053
25,FS-12,0.11526834409470865
26,FS-13,-2.496545518574853
27,FS-14,1.4587613608306462
28,FS-16,0.016241189675796353
29,FS-17,-0.09843645666362688
30,KN-01,1.7933368027690886
31,KN-02,0.547639587815838
32,KN-03,2.0267639549058822
33,KN-04,1.9780335869218861
34,KN-05,0.9345397572595315
35,KN-06,0.490222733069964
36,KN-07,1.1762785717064217
37,KN-09,0.49551366053115053
38,KN-10,0.36126299289889374
39,KN-11,1.1539422955050096
40,KN-12,0.5467858546465996
41,KN-13,0.5032392371851389
42,KN-14,1.0705280495909628
43,KN-15,1.098166666711358
44,KN-16,0.5673277021502283
45,NES_S01,-1.2664237323075316
46,NES_S02,-1.2770080759556348
47,PER_S01,-0.6889047501077821
48,PER_S02,2.3061670147140934
49,PER_S04,-0.6837335706410821
50,PER_S05,-0.6758644719279001
51,PER_S06,0.7892378649149334
52,PER_S08,-3.3444527399628576
53,PER_S10,0.7788854641401093
54,PL-01,0.31041903442693286
55,PL-02,0.6991855318908033
56,PL-03,0.8665247675958314
57,PL-04,-0.2590863374427075
58,PL-05,0.25881908110367124
59,PL-06,-0.49349628644803323
60,PL-07,-0.5354119451029602
61,PL-09,-0.267412491403503
62,PL-10,-0.1415243271507558
63,PL-11,-0.17934035636194867
64,PL-12,0.4454752105618547
65,PL-13,0.15608010973365571
66,PL-14,-0.4607826484266466
67,PL-15,0.04882989036415353
68,PL-16,0.5770761098714896
69,PO-01,0.94333550668533
70,PO-02,-0.20720682260969658
71,PO-03,0.9434436449326085
72,PO-04,-0.6701223365897064
73,PO-05,1.431860288323037
74,PO-06,-0.009369545053097728
75,PO-07,2.1204771412617394
76,PO-08,0.8260479708709325
77,PO-09,1.4863419154759008
78,PO-10,2.7405371300642924
79,PO-11,2.891440395039928
80,PO-12,2.1672993550011164
81,PO-13,-0.38921603204573074
82,PO-14,-0.14494085039787707
83,PO-15,1.409357018630021
84,SNE_001,-0.4800659251107322
85,SNE_002,0.60283632230469
86,SNE_003,0.9084679867616678
87,SNE_004,-0.22093919568509168
88,SNE_005,-0.017720868207277363
89,SNE_006,-0.1666564997059694
90,SNE_007,0.6007649305429945
91,SNE_008,0.04441265893194801
92,SNE_009,0.8305140582072204
93,SNE_010,0.2477789429641699
94,SNE_011,0.226029329466362
95,SNE_012,0.221368698002546
96,SNE_013,-0.34681187224939425
97,SNE_014,-0.9013210788030105
98,SNE_015,-0.7869168690442372
99,SNE_016,-0.1319789552506423
100,SNE_017,-1.4083426232646814
101,SNE_018,2.098175690840874
102,SNE_019,3.0305759969002493
103,SNE_020,2.1197033695070724
104,SNE_021,2.2803102093157124
105,SNE_022,-0.27823400928181785
106,SNE_023,-1.3808354878903157
107,SNE_024,-1.604875504464568
108,SNE_025,-0.8741372578670785
109,SNE_026,-1.273896692256434
110,SNE_027,0.9925073096647612
111,SNE_028,0.0009874102135363216
112,SNE_029,0.3454384945843474
113,SNE_030,0.2690381098511727
114,SNE_031,-0.10221228648524439
115,SNE_032,-0.8970431224705213
116,SNE_033,-0.10021487300075194
117,SSW,-1.5262041390649574
118,TE-01,-1.4354047709631983
119,TE-02,0.3662983780966558
120,TE-03,-0.06127561014665783
121,TE-04,-0.6158774257565098
122,TE-05,-0.7396801634629342
123,TE-06,0.5920406250403412
124,TE-07,-0.7648795539818887
125,TE-08,-0.7074504898083336
126,TE-09,-0.43828791186400284
127,TE-10,0.9803816485530801
128,TE-11,-1.4746114275838615
129,TE-12,0.2057132635713521
130,TE-13,-2.899461277576266
131,TE-14,-1.1030673152035835
132,TE-15,-1.5499816002439588
133,UHH_S01,
134,UHH_S02,-1.8044915484282358
135,risoux3,1.284817218481468
136,site_162,0.28512154514089616
137,site_181,-0.49563666406412743
138,site_183,-1.5065661772076595
139,site_185,-1.1180260021742034
140,site_187,-1.7385836642447705
141,site_188,-1.4922832876304506
142,site_193,-0.6052821111043301
143,site_194,-1.0220537046669964
144,site_195,-0.84866804113013
145,site_205,-0.41946522912103434
146,site_208,-0.6216907758906638
147,site_223,-0.7545743007943173
148,site_236,-0.19299329429588985
149,site_242,-1.2927814623965048
150,site_245,0.3787211107969779
