,site,residual
0,BA-01,2.0671915124544507
1,BA-02,0.5592329015212263
2,BA-03,0.8748892400093156
3,BA-04,1.8966902626925526
4,BA-05,-2.2285577730427377
5,BA-06,-1.410195763219422
6,BA-07,1.612741184828855
7,BA-09,-0.7896142008140434
8,BA-10,-0.19712340403103878
9,BA-11,1.1426494369935294
10,BA-12,-1.2469483003140303
11,BA-13,0.4394818653310506
12,BA-14,-0.19546656322293332
13,BA-15,-0.18805991122563137
14,BA-16,-1.7792380453077332
15,FS-01,1.3228759884444425
16,FS-02,-1.1862343022550808
17,FS-03,0.8812605073349453
18,FS-04,2.0461184250055844
19,FS-05,1.296443821908392
20,FS-06,0.6526977964129017
21,FS-07,-0.7510875161267174
22,FS-08,2.660894166170481
23,FS-10,0.464553861203858
24,FS-11,-0.11875374121172566
25,FS-12,0.343723502173674
26,FS-13,-2.3270042001344895
27,FS-14,1.7627247747953918
28,FS-16,-0.020852882352002222
29,FS-17,-0.0932817005320632
30,KN-01,2.0573561733341696
31,KN-02,0.929451753716739
32,KN-03,2.3366567844236856
33,KN-04,2.1804017443784645
34,KN-05,1.0146858195788324
35,KN-06,0.9833502635373605
36,KN-07,1.417441395893654
37,KN-09,0.8869786884796014
38,KN-10,0.5190041786827022
39,KN-11,1.4510007165339998
40,KN-12,0.5683929811274737
41,KN-13,0.7514158901129129
42,KN-14,1.3872062964579444
43,KN-15,1.5232663002873315
44,KN-16,0.9043164073522219
45,NES_S01,-1.236373682190644
46,NES_S02,-1.2683697505845821
47,PER_S01,-0.5460403364071764
48,PER_S02,2.251748012961494
49,PER_S04,-0.5607784437875747
50,PER_S05,-0.8234925347928499
51,PER_S06,1.1142801785876317
52,PER_S08,-2.9928626745165463
53,PER_S10,0.19137872977406545
54,PL-01,0.4785397343925508
55,PL-02,0.6972593771589759
56,PL-03,1.2468748192978545
57,PL-04,-0.4349910218768258
58,PL-05,0.27318376443595227
59,PL-06,-0.9114783911725355
60,PL-07,-0.3205249950807163
61,PL-09,-0.39718491693294133
62,PL-10,-0.5273758895577645
63,PL-11,-0.2958451564381184
64,PL-12,0.41936055962688146
65,PL-13,0.31119332146417333
66,PL-14,-0.14080098492186988
67,PL-15,0.1117490387129978
68,PL-16,0.5636424768199202
69,PO-01,1.0293975258044896
70,PO-02,-0.40461426195975614
71,PO-03,0.8221658508142826
72,PO-04,-0.7343684202264131
73,PO-05,1.4609079987448004
74,PO-06,-0.030889130051991565
75,PO-07,2.446454332923391
76,PO-08,0.7514150409601492
77,PO-09,1.70756774889814
78,PO-10,2.77725218144602
79,PO-11,3.1949915902803028
80,PO-12,2.05240242390863
81,PO-13,-0.3005370361902804
82,PO-14,-0.2964057156014799
83,PO-15,1.5939831785168268
84,SNE_001,-0.45110159606337596
85,SNE_002,0.6186979384524101
86,SNE_003,0.8762387162243623
87,SNE_004,-0.14456884893537314
88,SNE_005,-0.17868315118322187
89,SNE_006,-0.252720430305611
90,SNE_007,0.4441046790681167
91,SNE_008,-0.1247833229543236
92,SNE_009,0.7264483112754725
93,SNE_010,0.08088146869967439
94,SNE_011,0.10971281669558941
95,SNE_012,0.0898510254178877
96,SNE_013,-0.4421564240068889
97,SNE_014,-1.1267526930843164
98,SNE_015,-0.9410882125049334
99,SNE_016,-0.2292683610134496
100,SNE_017,-1.5755952476818695
101,SNE_018,2.0985274603653252
102,SNE_019,3.587807469853047
103,SNE_020,2.1517450663021265
104,SNE_021,2.287364411096643
105,SNE_022,-0.29370452756536203
106,SNE_023,-1.4191041776297257
107,SNE_024,-1.7178832646627775
108,SNE_025,-0.9601385984551278
109,SNE_026,-1.3856216026712378
110,SNE_027,0.9784405089979131
111,SNE_028,-0.007702825968738836
112,SNE_029,0.3723228035568287
113,SNE_030,0.2226117752160537
114,SNE_031,-0.10926960587728907
115,SNE_032,-1.065204865973783
116,SNE_033,-0.22331615250783443
117,SSW,-2.1710734604810247
118,TE-01,-1.3973744205036347
119,TE-02,0.3856847102480154
120,TE-03,-0.2875231420502642
121,TE-04,-0.5147018320838881
122,TE-05,-0.7892087625892272
123,TE-06,0.6712594032394454
124,TE-07,-0.7968399884567574
125,TE-08,-0.7723551924450707
126,TE-09,-0.22689601614998
127,TE-10,0.9875059101440877
128,TE-11,-1.3827263744451277
129,TE-12,0.15694740111758732
130,TE-13,-2.9541250885794654
131,TE-14,-1.2302981084824314
132,TE-15,-1.5260657967573068
133,UHH_S01,
134,UHH_S02,-2.579617215689078
135,risoux3,1.179101501582437
136,site_162,0.29386914454767066
137,site_181,-0.400343220315885
138,site_183,-1.5537694306069003
139,site_185,-1.0266928623929221
140,site_187,-1.6961919667232443
141,site_188,-1.4465414203726814
142,site_193,-0.7683558682690617
143,site_194,-0.8492746543469796
144,site_195,-0.8756276892140309
145,site_205,-0.3894482210885557
146,site_208,-0.6024819493142752
147,site_223,-0.836776384946992
148,site_236,-0.36044096509575363
149,site_242,-1.6483804791820562
150,site_245,0.33258619393257627
