indice,r,lower_bound_ci,upper_bound_ci,p_boot,p_perm,habitat,r_threshold
EAS,0.49095407200158825,0.45,0.53,0.0,0.0,all_balanced,0.10484144347238196
ECU,0.30136662734967823,0.25,0.35,0.0,0.0,all_balanced,0.10484144347238196
ECV,0.2534170818417211,0.2,0.3,0.0,0.0,all_balanced,0.10484144347238196
EPS,0.581389495161687,0.55,0.62,0.0,0.0,all_balanced,0.10484144347238196
EPS_KURT,-0.021878288467739735,-0.08,0.03,0.44599999999999995,0.373,all_balanced,0.10484144347238196
EPS_SKEW,0.026368816757945442,-0.03,0.08,0.338,0.288,all_balanced,0.10484144347238196
ACI,0.04981643075442834,0.0,0.1,0.036,0.042,all_balanced,0.10484144347238196
NDSI,0.42141995884568895,0.38,0.46,0.0,0.0,all_balanced,0.10484144347238196
rBA,0.42141995884568895,0.38,0.46,0.0,0.0,all_balanced,0.10484144347238196
AnthroEnergy,-0.1370698919051536,-0.18,-0.09,0.0,0.0,all_balanced,0.10484144347238196
BioEnergy,0.3156390195661872,0.27,0.36,0.0,0.0,all_balanced,0.10484144347238196
BIO,0.5531983661919805,0.52,0.58,0.0,0.0,all_balanced,0.10484144347238196
ROU,0.047640442019571044,0.0,0.1,0.038,0.059,all_balanced,0.10484144347238196
ADI,-0.05271025429126942,-0.1,0.0,0.052000000000000046,0.025,all_balanced,0.10484144347238196
AEI,0.05088554878538304,-0.0,0.1,0.062,0.032,all_balanced,0.10484144347238196
LFC,0.2856135428566564,0.24,0.33,0.0,0.0,all_balanced,0.10484144347238196
MFC,0.5479853455308412,0.52,0.58,0.0,0.0,all_balanced,0.10484144347238196
HFC,-0.09693491095223783,-0.14,-0.05,0.0,0.0,all_balanced,0.10484144347238196
ACTspFract,0.41604923145130596,0.37,0.46,0.0,0.0,all_balanced,0.10484144347238196
ACTspCount,0.4159681527836461,0.37,0.46,0.0,0.0,all_balanced,0.10484144347238196
ACTspMean,0.4674450597065421,0.43,0.51,0.0,0.0,all_balanced,0.10484144347238196
EVNspFract,0.5024183430978296,0.47,0.54,0.0,0.0,all_balanced,0.10484144347238196
EVNspMean,0.3792105375025496,0.34,0.42,0.0,0.0,all_balanced,0.10484144347238196
EVNspCount,0.46501027378293314,0.43,0.5,0.0,0.0,all_balanced,0.10484144347238196
TFSD,0.4717156365948633,0.43,0.51,0.0,0.0,all_balanced,0.10484144347238196
H_Havrda,0.32566996659395286,0.28,0.37,0.0,0.0,all_balanced,0.10484144347238196
H_Renyi,0.32566996659395286,0.28,0.37,0.0,0.0,all_balanced,0.10484144347238196
H_pairedShannon,0.24218088633350113,0.2,0.29,0.0,0.0,all_balanced,0.10484144347238196
