site,day,ZCR,MEANt,VARt,SKEWt,KURTt,LEQt,BGNt,SNRt,M,Ht,ACTtFraction,ACTtCount,ACTtMean,EVNtFraction,EVNtMean,EVNtCount,MEANf,VARf,SKEWf,KURTf,NP,LEQf,BGNf,SNRf,Hf,EAS,ECU,ECV,EPS,EPS_KURT,EPS_SKEW,ACI,NDSI,rBA,AnthroEnergy,BioEnergy,BIO,ROU,ADI,AEI,LFC,MFC,HFC,ACTspFract,ACTspCount,ACTspMean,EVNspFract,EVNspMean,EVNspCount,TFSD,H_Havrda,H_Renyi,H_pairedShannon,H_gamma,H_GiniSimpson,RAOQ,AGI,nROI,aROI,H,LAT,LON,species_richness,count,habitat
KN-16,2015-05-11,4733.900972960725,-3.651919221557385e-10,3.2705258345531836e-05,0.032897896210102,20.78804510340988,91.91062667971502,-40.95990382488896,2.714784351294261,0.009271047887988954,0.916071746084446,0.18159410668202167,938.3333333333334,7.430589422680231,0.14897876357921977,0.06332783224815158,2.3230200911015184,0.00010675395007788708,4.381713889499922e-08,5.63487672387509,54.83313755307305,19.066666666666666,40.50777961348983,-52.552018236390715,6.080397763160175,0.5893765918946037,0.13759525806740508,0.43891174472219585,0.29308470632095196,0.13990002629277848,9.395020316693751,2.097107550133626,304.10339448416073,-0.4066164841336589,0.5048608709093613,0.11755823366424492,0.0647422606042079,34.06110286182733,0.1805935530970859,2.001637945482418,0.37896746552131605,0.17599991578653815,0.2180049865745341,0.13013880783249154,0.16584806818822806,856.810546875,15.381892525381113,0.041695613929894404,0.062203396375856326,0.4938831080304597,0.5506561244689631,0.32561881314196467,2.550272777213903,4.627794019347392,12014.937157536058,0.9115900211674963,0.21496164248488359,1.4926106317856231,249.68590613154777,4.973023363568135,0.5356335831825803,50.97426024265587,-0.37258079275488903,7.533333333333333,15,Shrubland - Temperate
NES_S01,2019-09-14,3480.159090909091,-8.601707776628659e-11,3.0272253822115718e-05,0.0019318346869328588,3.7620709204153013,91.6498851166736,-39.50270827609493,0.7581850647072176,0.01095465224878061,0.9801245507336188,0.1042454738990446,538.6363636363636,4.5084473216583865,0.06102538839136473,0.03620809128841919,1.7067107815964524,7.549711938458121e-05,3.514386148898076e-08,7.441486657640448,77.02684711847498,12.681818181818182,39.17030109944597,-50.813679678675435,3.004580691401043,0.5031498466440705,0.03262681823589917,0.43735867596299943,0.3113199040455272,0.08506992835074755,80.88387710528094,7.140657748844507,296.57788710425353,-0.7208288484789783,0.1734781494775394,0.09212672415994762,0.012392100479344569,13.086205393621515,0.11103954050004657,2.2735863422205287,0.08172763987438314,0.14127148870272896,0.13989246844340097,0.12988009931378502,0.13463125442689083,695.5050603693181,7.790754121274045,0.009819397288433068,0.05221206947936998,0.13823637038713227,0.4982055956733204,0.3233574334251288,1.914768130420785,4.0703173365433925,7818.1130901992465,0.8747393540245756,0.17235594581551825,1.2361012968429135,72.98234825388028,0.8196948662364059,0.49338320922450624,5.59,-75.85,1.0909090909090908,22,Plantations
NES_S01,2019-10-03,3029.759090909091,-5.970963174513031e-10,0.00019172962824582848,0.01175406896285779,5.186059498163969,97.71561526189912,-33.49040336418621,1.1354360037330755,0.022224879296907984,0.9705788930093381,0.10760596090574798,556.0,5.191572114205878,0.07405387335714407,0.04049319058951881,1.4975401884700665,0.00015808646183889999,2.677386063174501e-07,7.106228185278885,74.82475228447478,13.272727272727273,46.31761207009818,-44.104405129798195,3.442617113176003,0.5040150304957661,0.05598195732932462,0.4398328829431843,0.3034314778603521,0.07466762714242685,53.67179258706763,4.8001694677888835,299.4536661388434,-0.7741498561375301,0.13556588182566143,0.6771588325283138,0.04472979955482217,23.66495582367553,0.7523072209117323,2.035929375154144,0.28031243750812224,0.14202518924885293,0.1540693412351166,0.13041928005813694,0.14073845626341813,727.0548650568181,9.134146728052757,0.0148271629073839,0.05259902139313691,0.21219575991568027,0.5051303695205628,0.3206860687643406,1.9955769285981886,4.071796989282585,6264.360973779037,0.8712197676626566,0.13132312859619155,1.275016459941538,135.32427937915745,1.5673152749181711,0.4916651138427275,5.59,-75.85,1.6363636363636365,11,Plantations
NES_S01,2019-11-05,2038.0444444444445,2.058272922856904e-11,0.00031727819888443333,-0.6378410894712715,59.24056208158325,100.8350613087822,-31.679656971016765,2.419099402226088,0.0260872810557897,0.9043788744324512,0.0865105477065995,447.0,6.837498651425361,0.056770530933488134,0.049987402368354694,0.6558053861788617,0.00019679822318313333,5.806945700968481e-07,6.815890919510532,60.84880475139482,7.0,49.95098753257907,-41.68428856974437,4.655876015603068,0.4624450518054732,0.008601685099170532,0.4040498185725365,0.33926463737785034,0.0412942540235349,147.81323471486039,10.391916413187857,297.04608098678796,-0.9451524110831923,0.028450790843715167,1.486975607758797,0.019219222600094166,25.522484748885628,2.1130322895947202,1.6693587381962118,0.3645342932009825,0.13492200778137464,0.12755415050967414,0.13057977299576792,0.1298272357723577,670.6875,6.582999003679521,0.0041754379597366996,0.046859004917567594,0.0613959461075523,0.4939364012275715,0.32640590636276623,1.9918761441977164,3.824711434795738,3084.770118160312,0.8874507024773379,0.04461051715311581,1.2129721724062121,10.337271341463413,0.054908798715963304,0.427359946390136,5.59,-75.85,0.3333333333333333,3,Plantations
NES_S01,2019-11-10,2489.842857142857,-2.0903648661711252e-10,8.273001664524585e-05,0.006041557072741086,3.137461493570001,96.98867834813275,-32.73504984940917,0.3436869941058894,0.023127116970721586,0.9914193365444925,0.03724183693217944,192.42857142857142,3.799734016387179,0.008128507838203956,0.0274140273084572,0.28582317073170727,0.0001529513292741,1.3086948575751956e-07,5.2907912581901195,40.26393971327992,9.0,45.92999663936255,-43.18031215127711,2.1309087039192787,0.5515691482458407,0.0015753912841789829,0.25668553550946577,0.20230559453898272,0.05044620965107584,116.15059733013115,8.555064776445866,296.5342984676839,-0.8845672458634041,0.061727893323003144,0.3605380997084159,0.022476716579530116,25.639953914595214,0.48152210869782003,2.2810202462015656,0.09469412996285445,0.12928464933802614,0.12997615897800358,0.12850755292172344,0.1289655534469885,666.2360491071429,5.8507873178157395,0.0033478902231623858,0.04713039832283587,0.05527263689364258,0.4943956030293664,0.33018031685864985,2.3420687122870554,4.4038262479300485,5112.41514208779,0.9293439975560984,0.08309614594069957,1.20578079771341,28.86814024390244,0.19669516688789335,0.5468505177149772,5.589999999999999,-75.85,0.8571428571428571,7,Plantations
NES_S02,2019-09-01,4229.220833333333,-8.023628659002223e-11,3.269788289625889e-05,-0.0027999914535430243,7.539858841462961,92.61449059762356,-38.79684847522159,1.5822186696837548,0.011589226887717975,0.9539883372713115,0.13532997871105082,699.25,6.261586342997974,0.09923553319140695,0.06626544014349085,1.4672256097560974,0.0001049017642127562,4.523941042020286e-08,6.932509656598994,75.00158826838083,18.0,41.004206985885816,-50.09865767839694,4.123464577562382,0.5636423816043514,0.06450612049479458,0.37710285629625245,0.26859920712633,0.09002380333130265,91.12091158660769,7.537890111110785,296.7208909325312,-0.5214731987073762,0.3622152439976287,0.11397868669943305,0.0299840312090082,23.549343450825173,0.1293070149021906,2.2744164082868332,0.12092871321062862,0.14364996993434975,0.16459377542591314,0.13123007149752675,0.14517614798078782,749.97998046875,10.839714777601554,0.0231066861449864,0.06620576733882244,0.28111852034710033,0.5001375995623865,0.32433195788078695,1.9640502875782087,4.454991876948611,10075.615718130828,0.8881042752507534,0.2448202441248331,1.294512641817294,121.54630335365854,2.239553087495161,0.536159073968606,10.11,-84.52,2.25,4,Plantations
NES_S02,2019-09-04,5170.296078431372,5.7005624188305314e-11,0.00034204906817894917,-0.0005272417222212465,4.370239168981856,98.15680339126254,-32.247842099166675,1.1007143305781475,0.028592310823443955,0.9746239101759573,0.09384214301164627,484.88235294117646,5.035980262304009,0.06131672719407094,0.049257626045257116,0.9258428981348636,0.00020197445495068612,6.106531911484285e-07,5.2089928482623975,42.28889020415055,14.058823529411764,47.040858513588134,-43.15855723201945,3.2200156588872026,0.5632030715604801,0.02408627509455084,0.3722325344196042,0.279733456846702,0.10669155791055143,70.00076828615303,6.654616216254102,300.2888193023211,-0.33397763034770866,1.2090955151840053,1.2184275129655768,0.46321074363178544,29.05663225071574,2.224303392827096,2.161554909681033,0.18277352677682857,0.1589641911080294,0.15637774608995805,0.1334205268694588,0.14468712726452368,747.4536994485294,8.250788749537447,0.016949923389071034,0.05378903645518891,0.22680001611570022,0.5022600694567645,0.32866467795508586,2.637822636304383,4.47197980917171,7076.666661893811,0.9223990605673354,0.18071389442877545,1.2840184187548982,76.2055012553802,1.131323337261734,0.551230685717184,10.11,-84.52,1.411764705882353,17,Plantations
NES_S02,2019-09-23,2949.2183333333332,1.4756662356946519e-10,0.0004706414659418104,-0.08024583660618065,13.051769791298767,88.92710567151697,-45.64461468675316,3.8327821721364446,0.0094458735900704,0.9260281860690258,0.1544997096961486,798.3,7.859821145143411,0.12343719760015479,0.08148643265523609,1.338843368902439,9.81501300817877e-05,9.039180972731632e-07,7.839682441073791,84.17501405591112,11.2,37.374496377705896,-56.0313782695181,6.426474560503621,0.43986948554947186,0.04414739569893124,0.46066001717723903,0.3187687506996331,0.13372041163452406,118.0023138002121,9.430770986353412,296.0384393252932,-0.8590475834556475,0.08093551216881638,2.2194267242947983,0.006723574349239279,13.135019780221095,2.5487727318901268,1.6301871017265757,0.3607854382762229,0.14564624673602355,0.13562215721469664,0.129296622518647,0.13343068712495157,689.3029296875,8.09381098489572,0.00940781673441729,0.051075114882121186,0.10830440318134371,0.49662917705909704,0.3177561747150295,1.9502666529526593,3.656159398136203,4898.95431539407,0.8435018905299879,0.09208640897052366,1.2433138242219903,39.01486280487805,0.3498725137921022,0.41806669909378763,10.11,-84.52,0.8,10,Plantations
NES_S02,2019-10-04,3612.522619047619,-5.877892463858218e-11,8.018674967712246e-05,-0.0002343139913459649,5.036980262906326,96.75119771548177,-32.984576577069824,0.6907456044636268,0.02251532619588739,0.9813824935550529,0.06386684730017414,330.0,4.68344919922973,0.03776714866321983,0.048058409723182496,0.7657679115853658,0.00017367884295795713,1.1198965583304725e-07,4.117152767681258,28.92910328743535,12.0,45.46792013431087,-44.148639938736046,2.6371599863265502,0.6304891596991571,0.022825807006235876,0.31371963572491446,0.2323131145752655,0.0852214834931044,67.04479596286426,6.466021375981733,298.2132735210238,-0.6503176652590005,0.22814969867531368,0.3177022085408866,0.07287905269457207,31.819830060600463,0.4456078426110655,2.2670681589211816,0.11445852235269338,0.13486562242956338,0.14857886983322519,0.13013091066357801,0.13767116983988711,711.2092633928571,8.048693625655183,0.013120428557601848,0.05637312095655367,0.17088499558514333,0.49994546021519604,0.3310435957863683,2.960569890089817,4.907183478245307,8306.73745688579,0.9505221369917366,0.1624819886670563,1.2586164918243443,62.88109756097561,1.0158415818054864,0.6182703238296879,10.11,-84.52,1.5,14,Plantations
NES_S02,2019-10-09,3639.640909090909,-3.255790728563812e-11,6.208262333445186e-05,0.15254627934728393,9.885722805758421,93.67658013762889,-38.71312123772885,1.6671030384189025,0.012400635792699692,0.9528077441910916,0.1309006457061421,676.3636363636364,5.937141800809433,0.10000527825184297,0.05553443916290674,1.6870063054323723,9.11776160637573e-05,7.817534284040208e-08,8.554794718504628,106.74722023257446,10.909090909090908,41.138313279262185,-49.70565612314251,3.8645693156843253,0.47055861066176735,0.016837039917589,0.36806180416065853,0.2637152835207243,0.07723088130167569,93.21406560534987,7.188566579760465,298.0737146451276,-0.7295492836701414,0.20044140825447523,0.20017018535311648,0.014172286292231735,18.227928233014172,0.1538115396664372,2.037990354875529,0.26888698691481294,0.13570353995885906,0.14027067522567715,0.12829480672043214,0.13349361565348605,689.6280184659091,7.256606716184274,0.008273852142945072,0.04998606865949673,0.1232419613642895,0.5024974135227166,0.3107165365666607,1.7973212817654356,3.8302089014296046,7388.161072124501,0.8193751282991912,0.15299595267894867,1.2354466965716517,53.20208564301552,0.7090208762274312,0.45134354743962074,10.11,-84.52,1.8181818181818181,11,Plantations
