,ZCR,MEANt,VARt,SKEWt,KURTt,LEQt,BGNt,SNRt,M,Ht,ACTtFraction,ACTtCount,ACTtMean,EVNtFraction,EVNtMean,EVNtCount,MEANf,VARf,SKEWf,KURTf,NP,LEQf,BGNf,SNRf,Hf,EAS,ECU,ECV,EPS,EPS_KURT,EPS_SKEW,ACI,NDSI,rBA,AnthroEnergy,BioEnergy,BIO,ROU,ADI,AEI,LFC,MFC,HFC,ACTspFract,ACTspCount,ACTspMean,EVNspFract,EVNspMean,EVNspCount,TFSD,H_Havrda,H_Renyi,H_pairedShannon,H_gamma,H_GiniSimpson,RAOQ,AGI,nROI,aROI,H,date,site,device_id,habitat,species_richness
BA-06_0_20150619_0401,3101.4166666666665,3.719733417492434e-11,7.047707520846325e-05,-2.7204251839573472,66.3850854169705,102.36183961301168,-46.37547129847554,7.7921999287436705,0.0047998364017295,0.7460243410420032,0.2612734662279853,1350.0,13.149521020820876,0.2279852912715308,0.0627364829723938,3.634717987804878,3.4927552120768395e-05,2.254244266858922e-08,15.233340208944345,253.61318994836057,2.0,43.851598349015966,-56.25180875602796,7.103407105043928,0.1858824098262009,0.0029259238689267,0.1058912593839009,0.0885467895006012,0.0131112467985083,3.1133497815641618,0.4410434819870833,298.8342625637744,-0.979700499495909,0.0102538240048229,0.0561273201321603,0.0005755196624975,7.58233868408166,0.0708059177907594,0.3501368183635838,0.858616352581565,0.1540102635068904,0.1725359766966653,0.1297896945860936,0.1472204830865273,760.541015625,7.156515872913016,0.0183108304297328,0.0532769519459848,0.2837567546360721,0.5268358299703895,0.2410121468688452,0.6419346679925427,1.8537523929404416,2665.0946755105115,0.5296440468974082,0.054412940191773,1.2560566891267786,9.003429878048781,0.1119474085365853,0.1386728023018911,2015-06-19 04:01:00,BA-06,SM2,Arable land,1.0
BA-13_0_20150621_0432,6544.50814362776,-1.164116117568224e-10,1.2668043591252391e-05,0.5312268587297885,36.44080749453203,94.9086222270548,-48.2589408608331,3.889562001085629,0.0038641409308034,0.8708444912835359,0.2097523219814241,1084.0,9.151299424615384,0.1826625386996904,0.0562041979184836,3.25060933568802,3.34214661743087e-05,5.991898310285051e-09,14.188466529784431,226.5849503579828,6.0,38.61071920816102,-59.765591808824105,5.37631101698512,0.3189986735893909,0.0024345363406521,0.3535097525955458,0.2870859711716216,0.0371442680687733,8.544759837455128,2.2510956440338576,297.62565359424906,-0.8986166668126859,0.0533985269167114,0.0155351774306401,0.0008295555901859,4.684189050762392,0.0214980040600385,0.5889254134920799,0.8371626026170326,0.1416065126889548,0.1401800194363862,0.1292329748627597,0.1343460452148248,694.166015625,6.331382826176451,0.0060370349090381,0.0502264523376148,0.1051181700171493,0.5268135415464457,0.2755522603653879,0.8762408627817635,2.774735466379116,10399.00120541846,0.6506765510617525,0.2645165667017138,1.22059190978629,25.004687197600155,0.1922129015869944,0.27779823762207584,2015-06-21 04:32:00,BA-13,SM2,Arable land,3.0
BA-04_0_20150620_0630,3209.7,-2.132934839071392e-10,9.717333756631944e-06,0.0302792228989489,3.313537602272309,93.7568320819218,-45.13432636421787,1.139413560386373,0.0055371167638952,0.9699262585234824,0.172053415908651,889.0,4.897925993001934,0.1118637507257596,0.0387894040082314,2.884432164634146,3.671606864408156e-05,1.141484194583541e-08,10.875108358268893,136.56090213388566,9.0,41.152197236076105,-54.48463736726916,2.636834603345264,0.33706872837328,0.1207845888349288,0.654215221356416,0.4766880528156421,0.058500240399836,36.47310203499514,5.019411328220375,297.5006601894272,-0.9351811633789038,0.0334949708315266,0.029337012449945,0.000982642376295,11.330555350000742,0.036284642318839,2.251202602991863,0.1785560093628829,0.1497845981499329,0.1498858227696104,0.1255219419146981,0.1365259327816492,705.29296875,11.463024179355234,0.0125580720092915,0.0526137661260657,0.166762463697967,0.5287067179084248,0.3071207553591374,1.2714518096976448,2.967806515070184,5739.070628651916,0.7626262157947441,0.1146946515296257,1.2625355610018685,117.04458841463416,0.957432007355788,0.32693181057636345,2015-06-20 06:30:00,BA-04,SM2,Arable land,9.0
BA-06_0_20150620_0515,4629.833333333333,-2.465387388922901e-11,4.143778590846208e-06,-0.0081065245604779,3.0161488235967244,90.05532630963162,-48.45309627474545,0.7157638208465897,0.0037787241243002,0.9794107716583124,0.1287013741048964,665.0,4.263995761454474,0.0714147474356493,0.0281847475832438,2.5342987804878048,2.5613019808677275e-05,4.492250970449472e-09,13.327176910022867,194.6933616368008,2.0,37.20931930414272,-57.69633974339705,1.9056590475397712,0.2982057226376569,2.5485603474595383e-05,0.0175181101916697,0.0131806644760585,0.008533926886287,3.7898861954746126,0.429317831594578,296.3647553696805,-0.9499897696302112,0.0256464065343648,0.0116114789609783,0.0002977927098984,4.7745323158411646,0.0138111013831184,2.2852424533279443,0.1019858384795876,0.1293276002668841,0.1264872541773546,0.1250658398674728,0.1259478289537359,650.646484375,5.444830676183916,0.0016109689556716,0.0381931162186264,0.0308119708316946,0.5182137100454877,0.2876310784196959,0.9934976759880206,2.6694955089154977,8147.271100205744,0.6794711631867751,0.2112297207159394,1.197084453520561,4.001524390243903,0.0146314242160278,0.29206589692147217,2015-06-20 05:15:00,BA-06,SM2,Arable land,4.0
BA-16_0_20150620_0417,9164.657963099153,2.0194165066410137e-10,2.1723064805038903e-06,0.0257292266929988,6.675936321190415,87.25072028852193,-49.63093779749229,0.7746504156383196,0.0032995378163419,0.9787985367711516,0.0808823529411764,418.0,5.147052291673051,0.0454721362229102,0.0395412271188668,1.1502156110896071,3.031034732457204e-05,1.925328402883118e-09,11.242536106547288,151.4873423123722,3.0,34.63206509908054,-60.5496491156711,2.1817142147516435,0.5253063325860883,1.815497061985472e-05,0.0102072614439769,0.0092058987292683,0.0083533734772683,2.829259429575268,0.1536944921915438,296.12805744721555,-0.7411920059259988,0.1486384001265628,0.0053171034544402,0.0007903257507754,4.039828622689113,0.0086714506377803,2.298230323433745,0.0489824932166214,0.1303937837915741,0.1286879197374535,0.128158975206639,0.1284885602138571,663.900390625,5.488220269430868,0.0020018869750338,0.0440703106417392,0.0403474016887385,0.5185866986445155,0.3170120878633157,1.5083376640625732,4.184266382268151,23115.98297438613,0.8341524716995008,0.5512990962752531,1.202147435938582,0.0,0.0032885983162376,0.5141690696918831,2015-06-20 04:17:00,BA-16,SM2,Arable land,1.0
BA-13_0_20150621_0615,5228.15,-7.943270195058954e-11,1.4220485983261118e-05,-0.2011891767833835,97.48925184376505,95.41050527305416,-47.33833894090664,3.436783980796271,0.0042961857766064,0.8335841693517518,0.1521192181149603,786.0,9.613297577920171,0.1112831430230307,0.0463592844545225,2.400914634146341,3.270025563942606e-05,7.962909404270941e-09,12.387997695085078,174.77409364877963,5.0,39.65064281829252,-57.59391241228873,4.244555230581263,0.3141152350653568,0.0002160699509752,0.1228832266148858,0.1052287153728811,0.0208993009592649,7.771090494294301,1.8790578040093324,297.0167550839176,-0.9494028478933892,0.0259552058012475,0.0205337105935652,0.0005329566843192,3.267491667280753,0.0287814356135598,0.3284365360293863,0.8799823772362114,0.1424988262040675,0.1300398947457771,0.1257005611135204,0.1288143782665505,665.455078125,5.71301202643305,0.0027875320605884,0.0420297996450957,0.0503870178399912,0.5211630005254021,0.2926037303773881,1.0510939084489992,2.785751079064975,7031.549315798754,0.7064412105885826,0.1651518260182912,1.206191350046965,2.0007621951219514,0.0225331494386372,0.26184148730268575,2015-06-21 06:15:00,BA-13,SM2,Arable land,3.0
BA-04_0_20150621_0545,3765.3166666666666,7.01631562524655e-11,1.0469249603098084e-05,-0.9173203205672028,25.47894879989109,94.08051642880552,-45.32510387392971,1.3244233736155095,0.0054168250141195,0.9469740171977664,0.1292819818076253,668.0,6.0315612524813496,0.072575962841107,0.0348299319727891,2.0841272865853657,3.870438285430368e-05,8.600241840946941e-09,11.13870988225104,143.98063531863338,11.0,40.13516986341849,-55.75481941947941,2.8899892828979006,0.3731236669823658,0.0985136015844376,0.4926333260360805,0.3426346830270889,0.0888530595649393,25.9407860225173,4.2309861962804245,301.07963036654724,-0.8378543906158492,0.0882254928421273,0.023153218473504,0.0020427041107063,15.173227141888002,0.0325961945197112,1.7500164338145698,0.5641723194361589,0.149418044332419,0.1624235799271667,0.1256781298652962,0.1410469294425087,728.6484375,11.204029505478829,0.0170578965834301,0.0534744023143395,0.2205694148755142,0.5337620110619401,0.3079203064290364,1.2869405387573098,3.1963114036999443,8828.495527020797,0.7686161072820838,0.156605473909485,1.304149151599997,88.03353658536585,1.9425389566395663,0.35333841783385256,2015-06-21 05:45:00,BA-04,SM2,Arable land,5.0
BA-10_0_20150620_0530,4467.3,7.2365210712548765e-12,1.171717791073266e-05,0.271887018854257,19.77033479525745,94.5695911289288,-46.88329420079967,2.486978498688458,0.0045272584704113,0.916227562983744,0.188310431585059,973.0,7.38026007712654,0.1428294948712986,0.0470778201390446,3.0344893292682924,3.193956409344875e-05,9.801549565028674e-09,13.584395524965476,203.17086665471788,3.0,40.43564862039023,-55.68582001602191,3.121468636412132,0.2625192762835849,3.617919219711663e-05,0.0168074518454957,0.0144022693836772,0.0117943900064731,14.155434968384531,1.9765887393378037,296.14714911515784,-0.9567646683234468,0.0220953149739754,0.0248822025737878,0.0005497801031141,3.922953036312664,0.0289905842033403,0.649429056357694,0.8390084631886655,0.1315310417541865,0.1269820566807654,0.1259049347084519,0.1266941450106465,654.501953125,5.48919436909777,0.0020294957413859,0.0414400812611092,0.0370329924266774,0.5193304115891241,0.2786101306439049,0.9034275950156966,2.423030223719112,5500.857755720732,0.6460552344100765,0.1315129244174517,1.199679016794433,4.001524390243903,0.0276749419279907,0.24052739674556517,2015-06-20 05:30:00,BA-10,SM2,Arable land,4.0
BA-02_0_20150620_0515,7409.016666666666,7.31360358872974e-11,1.5983573657637307e-06,-0.0047247731893095,3.064763015600368,85.9180997546053,-51.17358918842118,0.5447203342114406,0.0027626161134237,0.9856387694144872,0.0868976195084188,449.0,3.995834588902044,0.0396748596864718,0.0273568431203899,1.4505525914634143,2.323155971350109e-05,1.6396661060581471e-09,12.594091612712988,179.8700856522255,4.0,33.47601222809333,-61.37361680727263,1.8496290353659648,0.4303762695455451,0.0014973447995229,0.3950813734798937,0.318357073302698,0.0268250807699726,23.07637990812384,3.4186796125940524,297.0186369292608,-0.8685444165802894,0.070351864399506,0.0044988487581507,0.0003165023977873,4.610656849739813,0.0062681970614021,2.299967413033104,0.0387807136108872,0.1298053558043178,0.1311143821904223,0.1253150759588527,0.1278805380129694,660.630859375,5.834658643841043,0.0028378157665505,0.0429153346482234,0.0493447524418789,0.5206118182287681,0.3052841041600494,1.2375909195881265,3.550733551317773,17629.104592721593,0.7673396981994492,0.4441220191075996,1.2050609216193404,20.007621951219512,0.092174191831204,0.4241955367000687,2015-06-20 05:15:00,BA-02,SM2,Arable land,3.0
BA-14_0_20150619_0515,4904.433333333333,2.1965583804525635e-10,2.5157333861496195e-05,0.4854667095242951,84.24052824510485,97.88800702000265,-46.40885870589341,4.877192363839853,0.0047814218815517,0.7945892078701963,0.1875362879814205,969.0,10.932635130747263,0.1472808205922198,0.0529053457710429,2.7843940548780486,4.6447457796561074e-05,1.9955970488685108e-08,13.337284457395825,200.5785182964856,9.0,43.5392424200333,-55.34514321210488,5.884385632138176,0.2782378247775575,0.1600494776556359,0.5169914180869964,0.3778044306214155,0.036638936595513,6.137309351870134,1.8438281607023488,305.3134953573697,-0.8644192915802656,0.0727200737688234,0.0490435979890974,0.0035664540636556,8.391020594253783,0.0623720852583989,1.038817227437184,0.7610365886113641,0.1436396734788016,0.1708238358166622,0.1283599102085441,0.1450329528406891,749.240234375,13.1573740581302,0.0141595891405342,0.052002274282693,0.2178008974117785,0.5410644670847943,0.2789615734846589,0.906649045835285,2.52449946199864,5422.096084514982,0.6526815293753321,0.1412079800783089,1.3372572961823193,46.01753048780488,0.9371294884823848,0.22108477278952587,2015-06-19 05:15:00,BA-14,SM2,Arable land,3.0
