site,day,ZCR,MEANt,VARt,SKEWt,KURTt,LEQt,BGNt,SNRt,M,Ht,ACTtFraction,ACTtCount,ACTtMean,EVNtFraction,EVNtMean,EVNtCount,MEANf,VARf,SKEWf,KURTf,NP,LEQf,BGNf,SNRf,Hf,EAS,ECU,ECV,EPS,EPS_KURT,EPS_SKEW,ACI,NDSI,rBA,AnthroEnergy,BioEnergy,BIO,ROU,ADI,AEI,LFC,MFC,HFC,ACTspFract,ACTspCount,ACTspMean,EVNspFract,EVNspMean,EVNspCount,TFSD,H_Havrda,H_Renyi,H_pairedShannon,H_gamma,H_GiniSimpson,RAOQ,AGI,nROI,aROI,H,species_richness,count,habitat
PO-03,2015-08-18,11059.846666666666,3.056844891219031e-11,8.658446034958331e-06,-0.00146356957411945,3.388343526730206,92.24817596308662,-43.25995146434094,0.46442402254708953,0.00736455441539525,0.9854858138524165,0.07218889103928774,373.0,4.017024992001238,0.03088832978517511,0.0315615852382761,0.9903772865853657,5.648328023240183e-05,9.859034985776651e-09,4.47608422692168,27.175900558318126,15.9,40.21004680570233,-55.68935403912724,2.8994008448295823,0.6205738676672448,0.025356222527888873,0.4205927217312431,0.28870320128233695,0.14058011827856104,68.71677534098347,6.826446716873329,298.87941904648926,0.4878912421262517,5.69403607135355,0.00590628298410652,0.0263427694595793,35.22649418666007,0.050457580334871244,2.2846097037203776,0.07179327259106495,0.14091399576609745,0.16646532966475575,0.13747896031995266,0.1477117511130468,763.07890625,7.987203652778763,0.0181489017736159,0.05517222810425147,0.25411081821851556,0.5501897553107457,0.33199147102894366,2.9875027505463496,4.848705468565615,15590.049760744954,0.9561816161551828,0.38237960292615747,1.2582424640172483,90.1343368902439,0.9737950058072009,0.6117772778625564,5.5,10,Plantations
PO-03,2015-08-21,10077.928333333333,2.4104054916044264e-11,1.2320161413128622e-05,-0.007647638980005919,3.4339443644626577,92.73700699529957,-43.02250090742264,0.5572172792477132,0.00788452656383612,0.9847977139236542,0.08538803948132374,441.2,4.0147714536525765,0.03615250628991673,0.027820950725593402,1.112090320121951,5.974174771271844e-05,1.3597467881438009e-08,6.057141333042325,57.267969659212554,15.4,41.16575131422105,-54.823597804889815,2.9893491191108574,0.5674664243450663,0.032106991157380436,0.46382147642855365,0.31269262737208126,0.18160090497033246,134.1004602703703,9.988482551463006,300.4543354955269,0.12826592902380468,3.946481652080979,0.01420491210598305,0.02818240075111189,33.505966759553345,0.06629024137734445,2.2537087111186946,0.10371227630520989,0.14106226472599068,0.1641184337741009,0.13580874619291866,0.14624267294570265,755.4896484375,8.010373128157372,0.01693770718399143,0.050124433101304613,0.2416980887428719,0.5483483302760113,0.3246457172652093,2.5789290844926738,4.4882710624318385,14213.305511940736,0.9078777297643013,0.359164784226502,1.270559554818806,126.44817073170732,1.1504307007355787,0.559605293392659,4.7,10,Plantations
PO-04,2015-08-15,5279.276666666667,9.729012917173564e-11,3.865540953918146e-06,0.005553780564393459,3.4962107206023942,89.60183983634244,-47.2112283588775,0.6256111187099392,0.0043812289792480195,0.9822679655329871,0.08457518869750334,437.0,4.383423613193296,0.03444939036191206,0.03069440531551628,1.0970846036585367,3.3716308038917745e-05,5.625311625938516e-09,9.87321634002642,110.54904806018143,6.8,38.216667705935734,-57.55444745649593,2.7711151624316543,0.4188124097476825,0.02515126495404111,0.18442778735527598,0.14280491473663423,0.015111916990418101,38.67286331162938,3.935078097966773,297.51787361163576,-0.8817435277646848,0.06511613270805479,0.01510789284332174,0.00081719615556064,10.86436575145979,0.02089112947039528,2.285023540384732,0.09768257487379209,0.13349395803988431,0.1309460665271282,0.12579028610641713,0.12831358280100652,662.86796875,7.12670928731211,0.00355320545392948,0.04931630351257898,0.05245852031873934,0.5195192019299786,0.3198971556747263,1.6155642950463136,3.519828923522033,11501.981211317912,0.8297474360414897,0.22283724561768006,1.2191778415158585,16.80640243902439,0.20396280971738284,0.41118809909177434,1.6,5,Plantations
PO-04,2015-08-16,7137.716666666667,4.807200301637932e-10,1.29140697630009e-05,-0.00569834699966382,4.955010238613079,93.79598539452596,-43.12853345839767,1.3262481471746708,0.00759908756981704,0.9666567561359898,0.14097155022256627,728.4,5.068056531711337,0.10969614863557187,0.059604103522332585,1.5339176829268293,6.14443524074706e-05,2.0439219188083135e-08,6.594567154134298,61.24979188820534,13.4,42.788822491132386,-54.577778562124806,4.3666010532572015,0.5068635185908155,0.055885851963693924,0.43047167148164933,0.3260862057372583,0.13989322343030033,61.59165432567481,6.35195645771761,290.0715033386385,-0.26752265195960684,1.5310091412038769,0.0466320240678441,0.041173440694029076,30.121642018111167,0.05238784155564228,2.17563618885601,0.20141380527486152,0.15396743025181006,0.16276166046610804,0.12939922470959836,0.1432811895083236,740.190625,8.546815822772434,0.02016966402922954,0.05376405339988179,0.21496723836066067,0.5182068174949827,0.3254861309009186,2.5008845800803647,4.105270815697644,9120.176663008378,0.8957998452454939,0.20858634680407823,1.2507567684705445,107.44092987804879,1.5782051514711575,0.4890918046748455,3.2,5,Plantations
PO-04,2015-08-18,8083.881666666666,-3.4308474321179404e-10,5.476033389533613e-06,-0.0009809639185215302,4.711584859990504,89.57386329118025,-47.15667747208957,1.1603478608823061,0.00490711783645549,0.9714563177467589,0.12260499322624344,633.5,5.191167166315668,0.08759434875169339,0.06219288291368656,1.162109375,4.292975787988681e-05,7.409612047480673e-09,7.943188704808908,83.60445859815201,10.7,37.922324886882635,-58.59996442359625,3.522289310478885,0.5395472123060024,0.08661856992173186,0.4250121738130287,0.32991325319725184,0.07218930532321167,31.82619654680346,4.014294140096459,294.0178867625341,-0.4283310718445117,1.196116754272593,0.01421325098301254,0.01553059930966379,21.06964509759893,0.02495269225530088,2.2561277493923426,0.1105529856591255,0.13981762917933127,0.15192434697456217,0.12861379870696313,0.13775001965979478,711.6166015625,9.305760883071407,0.01409191407762286,0.05375289472658616,0.1588314754342063,0.5201503364744531,0.3250972938966549,2.150029531833579,4.305653255929512,17076.83117836082,0.8891198100759847,0.3457906407789383,1.250007797127522,47.41806402439024,1.1200298526422763,0.5235622472429762,2.4,10,Plantations
PO-04,2015-08-21,6251.526666666667,-1.07571365596821e-10,1.3796363918398113e-05,-0.00250830357080321,5.876746513791627,92.50026382800029,-45.36469506510405,1.1477997955861121,0.0064318692013361906,0.9697061513536195,0.1327269208438165,685.8,4.899076540945151,0.0929746467969808,0.05640135913303575,1.595607850609756,4.616684743557058e-05,2.3908230732941783e-08,10.169947713213693,122.60160536820865,11.2,41.33544097363045,-55.1588465507509,3.494287524381355,0.38612759703855426,0.062222553405609116,0.47655409060578496,0.3599380885375495,0.08278061397202092,31.495225861420032,4.26441480729041,293.09140953882024,-0.6584131000620886,4.0618659157331285,0.04219264336404569,0.023981247028135082,18.273104288781088,0.053006908183198184,2.1445826493727402,0.22504558048551856,0.1391149990527261,0.1423032331927597,0.1287098376808415,0.13427552899970963,693.6673828125,7.839428810075896,0.010281543384630231,0.04851258942998399,0.12410775228022139,0.5204830546469408,0.3118760156205251,1.5955825828210979,3.292879948256078,8757.787121431604,0.7945005498180187,0.19328019363204135,1.2269429214734677,45.51733993902438,0.5160053414150212,0.3748473534050663,2.2,10,Plantations
PO-05,2015-08-15,7909.073333333334,-1.0280666640669798e-11,1.2231103871968673e-05,0.006453445331536049,5.436986966575939,90.64684545160522,-46.09455799330907,1.0152535548817336,0.0064478582476498805,0.9724662625220507,0.1072963034642926,554.4,4.919496665837038,0.06516353783626858,0.04789196276752948,1.360518292682927,5.459504731643544e-05,1.7975861018960657e-08,8.474523954031344,91.80272639287963,16.0,39.49710521366977,-56.93927277931192,3.4363779929816864,0.49400758102603015,0.10047224049377963,0.46888094451557416,0.3662037960225131,0.1334313919004765,57.07847268383514,6.0016048196444824,294.5720998068641,-0.4932024213787621,1.8852302514955785,0.01974728235466463,0.0406521679911445,24.928352836555472,0.05379496365217894,2.2444047520550985,0.15251123178517104,0.14735010420013012,0.15853399748665167,0.13828083590461898,0.14574883402293842,752.9384765625,10.26708727105101,0.02142963003290743,0.05810528081468739,0.24620588658970757,0.5210844954460636,0.32249698943178673,1.9620470822575542,4.007924468618319,14140.26507658575,0.8649856038986543,0.31673901650676684,1.2838014753087783,88.43368902439025,1.333406679490902,0.479463007472612,4.8,10,Plantations
PO-05,2015-08-18,8048.696666666668,-3.315088738471269e-10,1.2938807819564212e-05,0.00669194694763994,4.280655865572112,90.54566010716718,-46.217644233043025,0.8816825953576857,0.00654735024011284,0.9762681533979789,0.10743177859492932,555.1,4.779850182844564,0.06678923940390938,0.04117207775025694,1.652296112804878,5.320652846022431e-05,1.75960721257749e-08,8.907447180293392,102.43013592287312,15.6,38.955055302022515,-57.11302973884242,3.0680850408649327,0.48850622903055746,0.0766490664763478,0.47822722074811247,0.363211087379717,0.10202672143773121,40.56891047080934,4.715071148558744,294.3655880346429,-0.47822764230441345,5.32082763532732,0.01212814789360791,0.04428398355930744,23.18398284356367,0.04410446662955947,2.269384947827958,0.12140407077915379,0.14530605184471293,0.15470921554135325,0.13980532999689282,0.14485828312524193,748.337890625,9.453819692545787,0.01994796203542388,0.05920900938812337,0.2409717600435624,0.5211126286643005,0.31944563504126666,1.8246381851392588,3.964128342144062,14424.287487417034,0.8501451111862857,0.34855979544977794,1.2714495440531786,74.72846798780488,1.1812549905632985,0.4768979932371823,4.1,10,Plantations
PO-05,2015-08-21,6466.961666666667,1.1800481052645352e-10,2.4996410559656e-05,-0.01883811005810641,4.753481774761108,93.74390002544513,-44.32749358491797,1.5416629018592503,0.00799926100077879,0.9636748788693875,0.15182891426359585,784.5,5.378276926347042,0.11288949100058057,0.07245419345388456,1.8256955030487805,5.971579904504075e-05,4.064236734945405e-08,9.490345395764578,111.87540818451036,14.4,42.48111776869619,-54.50643317502693,3.9875509437231194,0.4217977386436945,0.13087221472683314,0.4771360844727351,0.3691186729836998,0.11946478375847272,44.03712721569789,5.660300297152441,293.6258189780007,-0.5447481952781066,7.037943400449625,0.04547681287728371,0.07161384856477772,25.74978953784144,0.05986706725871105,2.1435610811365144,0.24548545036144653,0.14546296982726664,0.16074911856834379,0.13405686570660919,0.14414153237514513,744.63515625,12.06999305003867,0.02262430283343007,0.06369967897131426,0.22980974904565352,0.5249959321170123,0.3144637861241668,1.7230122405798276,3.528036325149049,9536.849319312549,0.816789323736818,0.2253554509979269,1.3124327296008935,87.33326981707316,1.5544924143437864,0.4058504136593556,4.5,10,Plantations
PO-06,2015-08-15,7269.343333333333,1.5859318702267892e-11,6.879029229985092e-06,0.0034010448555867696,3.493970695569433,90.06331154495895,-46.4224507756271,0.6802558007135403,0.00555356473108928,0.9819840103452716,0.09026514418424612,466.4,4.439667694598851,0.04828720727694983,0.03887729931167539,1.1821169969512195,4.468126348327027e-05,9.984349167678836e-09,8.757743623102318,94.38118098364372,13.5,38.74994674910821,-57.38708138845256,3.137028137560771,0.4823717416030913,0.04441814883943404,0.4734016940868958,0.35478367010914524,0.11531583295975718,50.753578797840724,5.849546380454221,296.12734508486176,-0.6071052597379862,0.697730413688364,0.01566605625068537,0.015083122703534037,19.547899545796632,0.03347541627693312,2.286699133074841,0.08377693107503652,0.14446956779598188,0.1520634713604584,0.13749117288843027,0.14250046881049164,736.157421875,8.850753843168274,0.015402088172667389,0.054142557724125774,0.20195520628110247,0.5231156201910823,0.3230210117940504,1.8791589024574673,3.9345354923654234,13918.547212285592,0.8625405028193722,0.32125913938869144,1.263751593499693,94.93616615853658,1.0106911476480835,0.474087755345926,3.4,10,Plantations
