,site,residual
0,BA-01,1.5266700849302
1,BA-02,1.0098755208457613
2,BA-03,0.7054016537520464
3,BA-04,1.7213210012678815
4,BA-05,-0.4577456407001481
5,BA-06,-0.5701366360496949
6,BA-07,1.3526438715107205
7,BA-09,0.8477600285491005
8,BA-10,-0.1480728946752099
9,BA-11,1.1740428515643058
10,BA-12,-0.10563229990160927
11,BA-13,0.9691935515603445
12,BA-14,0.2513515086501701
13,BA-15,1.2477694776608121
14,BA-16,-1.024093557669616
15,FS-01,-0.12249973289162153
16,FS-02,-2.6064523775400583
17,FS-03,-1.1322341001846854
18,FS-04,0.5598324935962502
19,FS-05,-1.0302318864937616
20,FS-06,-2.0957472374045203
21,FS-07,-2.3788430549531077
22,FS-08,0.35949804663770646
23,FS-10,-0.8117546344535969
24,FS-11,-2.5113462000549145
25,FS-12,-1.4084205620933297
26,FS-13,-3.356843797369914
27,FS-14,-1.4960550454947406
28,FS-16,-1.2429392403202235
29,FS-17,-2.3202770179847776
30,KN-01,0.24753454823813303
31,KN-02,-0.7535085141519975
32,KN-03,0.4877526131240524
33,KN-04,0.0844451412394207
34,KN-05,1.0412200725976453
35,KN-06,-0.04248137155575904
36,KN-07,0.4239286789633674
37,KN-09,0.051522068790097464
38,KN-10,-0.3399587411775693
39,KN-11,0.16543129803499212
40,KN-12,-0.20677340830397561
41,KN-13,-0.9047568952790153
42,KN-14,1.081722947306294
43,KN-15,0.15315943293936218
44,KN-16,-0.094314552148127
45,NES_S01,-1.798324107810486
46,NES_S02,-1.1617570590529385
47,PER_S01,-0.5721516012227914
48,PER_S02,2.03837929044027
49,PER_S04,0.631838410896524
50,PER_S05,0.5488398897978568
51,PER_S06,0.765014510326206
52,PER_S08,0.08130937103813718
53,PER_S10,0.37835709420822905
54,PL-01,0.39446265414265813
55,PL-02,0.7779442199981599
56,PL-03,0.2840791285663329
57,PL-04,0.28322181443165206
58,PL-05,0.2764333077688299
59,PL-06,0.35195926834833147
60,PL-07,0.0825568732911206
61,PL-09,0.5537382151338512
62,PL-10,0.6176924790443841
63,PL-11,0.3362535359662573
64,PL-12,0.7695948379814772
65,PL-13,0.10631326349452452
66,PL-14,-0.14861173438473774
67,PL-15,0.17420822973493433
68,PL-16,1.3245800031656136
69,PO-01,1.1409260974539142
70,PO-02,-0.10034064209848337
71,PO-03,1.046074450322342
72,PO-04,-0.5823384216278107
73,PO-05,1.5942031969428685
74,PO-06,-0.22699251127712206
75,PO-07,1.0758532100794893
76,PO-08,0.22067452320807313
77,PO-09,1.0005768530073422
78,PO-10,1.6710999721755817
79,PO-11,1.980452543938287
80,PO-12,1.4315468868228831
81,PO-13,-1.5511671351953455
82,PO-14,-0.4532492654912419
83,PO-15,0.8730814761630148
84,SNE_001,-1.4123809707619048
85,SNE_002,0.09705854259897828
86,SNE_003,0.5981129271810883
87,SNE_004,-0.7680246996271909
88,SNE_005,-0.0776251420263887
89,SNE_006,-0.35027034979300953
90,SNE_007,0.12844034067174182
91,SNE_008,0.320948667436765
92,SNE_009,0.19225832139937982
93,SNE_010,0.3837122635822925
94,SNE_011,0.16403967707294598
95,SNE_012,-0.005422032519978082
96,SNE_013,0.21530493857147825
97,SNE_014,-0.4130006473531317
98,SNE_015,-0.8171312440833955
99,SNE_016,-0.14244755945802856
100,SNE_017,-0.9959825191590951
101,SNE_018,2.0803382329195403
102,SNE_019,2.9673138119794826
103,SNE_020,1.6974802964318223
104,SNE_021,2.2246945040542534
105,SNE_022,-0.048302165239737294
106,SNE_023,-1.164757954989982
107,SNE_024,-1.0158659825848635
108,SNE_025,-0.6100113768031548
109,SNE_026,-0.7459825191590951
110,SNE_027,-0.04835211311784482
111,SNE_028,-0.16860738249834983
112,SNE_029,0.09183656756653535
113,SNE_030,0.15043257326173043
114,SNE_031,-0.39455632862224865
115,SNE_032,-0.41440649346261194
116,SNE_033,0.18286875591660445
117,SSW,-0.5251257875980635
118,TE-01,-3.5035400590126367
119,TE-02,-1.3780261861557426
120,TE-03,-0.8100676191222203
121,TE-04,-2.3066062815851684
122,TE-05,-1.7846943308762753
123,TE-06,-0.654989558559266
124,TE-07,-1.0655008363472078
125,TE-08,-1.0696917358073241
126,TE-09,-2.205354339520799
127,TE-10,-0.1947365062595594
128,TE-11,-2.7674083528945057
129,TE-12,-0.6772566659301931
130,TE-13,-0.7106693819387702
131,TE-14,-1.8033461966650401
132,TE-15,-3.072824555550667
133,UHH_S01,
134,UHH_S02,-1.357903876541271
135,risoux3,1.6211095964750792
136,site_162,-0.20771023464478588
137,site_181,-0.33197648348998854
138,site_183,-1.0952043441822434
139,site_185,-0.7475556991658019
140,site_187,-1.099852511930738
141,site_188,-0.7176956536867687
142,site_193,-0.5425069645825324
143,site_194,-0.42144312638603587
144,site_195,-0.06361467990443082
145,site_205,0.012447616527090144
146,site_208,-1.0985124333626208
147,site_223,-0.7394106610824664
148,site_236,-0.5524250394279928
149,site_242,-0.8323464215554495
150,site_245,-0.19398042722687903
